Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
4018317,104688003,"Glucose measurement, quantitative",Clinical Observation,Measurement,SNOMED,Valid,Standard,13023010,3004501,2345-7,Glucose [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3024882,19994-3,Oxygen/Total gas setting [Volume Fraction] Ventilator,Clinical Observation,Measurement,LOINC,Valid,Standard,13004890,3024882,19994-3,Oxygen/Total gas setting [Volume Fraction] Ventilator,LOINC,No,
4019545,104589004,"Chloride measurement, blood",Clinical Observation,Measurement,SNOMED,Valid,Standard,12661023,3014576,2075-0,Chloride [Moles/volume] in Serum or Plasma,LOINC,Yes,Is a
4074649,24509005,Urea nitrogen measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,12632291,3013682,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
40489885,446889005,Measurement of fractional excretion of calcium,Clinical Observation,Measurement,SNOMED,Valid,Standard,12361656,3006906,17861-6,Calcium [Mass/volume] in Serum or Plasma,LOINC,Yes,Is a
3025524,19993-5,Oxygen/Gas total Inhaled gas by Gas dilution.rebreath,Clinical Observation,Measurement,LOINC,Valid,Standard,12232874,3025524,19993-5,Oxygen/Gas total Inhaled gas by Gas dilution.rebreath,LOINC,No,
4245152,59573005,Potassium measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,11763086,3023103,2823-3,Potassium [Moles/volume] in Serum or Plasma,LOINC,Yes,Is a
4097430,25197003,Sodium measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,11756221,3019550,2951-2,Sodium [Moles/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3005629,3151-8,Inhaled oxygen flow rate,Clinical Observation,Measurement,LOINC,Valid,Standard,11646736,3005629,3151-8,Inhaled oxygen flow rate,LOINC,No,
4324383,70901006,Creatinine measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,11530396,3016723,2160-0,Creatinine [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3009744,786-4,MCHC [Mass/volume] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,11502533,3009744,786-4,MCHC [Mass/volume] by Automated count,LOINC,No,
3023599,787-2,MCV [Entitic volume] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,11490350,3023599,787-2,MCV [Entitic volume] by Automated count,LOINC,No,
3012030,785-6,MCH [Entitic mass] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,11482478,3012030,785-6,MCH [Entitic mass] by Automated count,LOINC,No,
21490852,76214-6,Invasive Mean blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,11451312,21490852,76214-6,Invasive Mean blood pressure,LOINC,No,
21492241,76536-2,Mean blood pressure by Noninvasive,Clinical Observation,Measurement,LOINC,Valid,Standard,11313914,21492241,76536-2,Mean blood pressure by Noninvasive,LOINC,No,
4020553,104847001,Oxygen saturation measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,11012510,3013502,20564-1,Oxygen saturation in Blood,LOINC,Yes,Subsumes
3000963,718-7,Hemoglobin [Mass/volume] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,10408166,3000963,718-7,Hemoglobin [Mass/volume] in Blood,LOINC,No,
3015632,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Lab Test,Measurement,LOINC,Valid,Standard,10290131,3015632,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",LOINC,No,
3024929,777-3,Platelets [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,10187987,3024929,777-3,Platelets [#/volume] in Blood by Automated count,LOINC,No,
3023314,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,9037995,3023314,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,LOINC,No,
3019897,788-0,Erythrocyte distribution width [Ratio] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,9032630,3019897,788-0,Erythrocyte distribution width [Ratio] by Automated count,LOINC,No,
21490853,76215-3,Invasive Systolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,8499815,21490853,76215-3,Invasive Systolic blood pressure,LOINC,No,
21490851,76213-8,Invasive Diastolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,8494266,21490851,76213-8,Invasive Diastolic blood pressure,LOINC,No,
46236952,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,Measurement,LOINC,Valid,Standard,8476977,46236952,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LOINC,No,
3038553,39156-5,Body mass index (BMI) [Ratio],Clinical Observation,Measurement,LOINC,Valid,Standard,8450239,3038553,39156-5,Body mass index (BMI) [Ratio],LOINC,No,
3000996,8886-4,Heart rate method,Clinical Observation,Measurement,LOINC,Valid,Standard,8303622,3000996,8886-4,Heart rate method,LOINC,No,
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,7785042,3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,LOINC,No,
4030871,14089001,Red blood cell count,Clinical Observation,Measurement,SNOMED,Valid,Standard,7529511,3020416,789-8,Erythrocytes [#/volume] in Blood by Automated count,LOINC,Yes,Subsumes
4018317,104688003,"Glucose measurement, quantitative",Clinical Observation,Measurement,SNOMED,Valid,Standard,6909287,3034962,41653-7,Glucose [Mass/volume] in Capillary blood by Glucometer,LOINC,Yes,Is a
3011948,5905-5,Monocytes/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,6859401,3011948,5905-5,Monocytes/100 leukocytes in Blood by Automated count,LOINC,No,
40493191,445881001,Measurement of fractional excretion of magnesium,Clinical Observation,Measurement,SNOMED,Valid,Standard,6801807,3001420,19123-9,Magnesium [Mass/volume] in Serum or Plasma,LOINC,Yes,Is a
3037511,736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,6300613,3037511,736-9,Lymphocytes/100 leukocytes in Blood by Automated count,LOINC,No,
3013762,3141-9,Body weight Measured,Clinical Observation,Measurement,LOINC,Valid,Standard,6202269,3013762,3141-9,Body weight Measured,LOINC,No,
3010457,713-8,Eosinophils/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,6195595,3010457,713-8,Eosinophils/100 leukocytes in Blood by Automated count,LOINC,No,
3014080,19941-4,Oxygen gas flow Oxygen delivery system,Clinical Observation,Measurement,LOINC,Valid,Standard,6159085,3014080,19941-4,Oxygen gas flow Oxygen delivery system,LOINC,No,
3007194,9269-2,Glasgow coma score total,Clinical Observation,Measurement,LOINC,Valid,Standard,6066032,3007194,9269-2,Glasgow coma score total,LOINC,No,
3035519,38227-5,Braden scale total score,Clinical Observation,Measurement,LOINC,Valid,Standard,6053326,3035519,38227-5,Braden scale total score,LOINC,No,
4017907,104866001,Phosphate measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,5792957,3011904,2777-1,Phosphate [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3013650,751-8,Neutrophils [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,5691614,3013650,751-8,Neutrophils [#/volume] in Blood by Automated count,LOINC,No,
3013869,706-2,Basophils/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,5598772,3013869,706-2,Basophils/100 leukocytes in Blood by Automated count,LOINC,No,
4263457,45896001,Aspartate aminotransferase measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,5507139,3013721,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,Yes,Is a
4230636,88810008,Alkaline phosphatase measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,5288198,3035995,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3043111,32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,5210250,3043111,32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,LOINC,No,
3008342,770-8,Neutrophils/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,5182904,3008342,770-8,Neutrophils/100 leukocytes in Blood by Automated count,LOINC,No,
4118986,302787001,Bilirubin measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,5045191,3024128,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
4193435,312474003,Blood electrolyte measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,5029300,3045716,33037-3,Anion gap in Serum or Plasma,LOINC,Yes,Is a
1616852,96790-1,SOFA Total Score,Clinical Observation,Measurement,LOINC,Valid,Standard,4838991,1616852,96790-1,SOFA Total Score,LOINC,No,
4193435,312474003,Blood electrolyte measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,4712861,3021391,10466-1,Anion gap 3 in Serum or Plasma,LOINC,Yes,Is a
3053283,48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,Measurement,LOINC,Valid,Standard,4568773,3053283,48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LOINC,No,
3028615,711-2,Eosinophils [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,4552717,3028615,711-2,Eosinophils [#/volume] in Blood by Automated count,LOINC,No,
3049187,48642-3,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,Measurement,LOINC,Valid,Standard,4551435,3049187,48642-3,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LOINC,No,
4250176,74040009,Protein measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,4527083,3020630,2885-2,Protein [Mass/volume] in Serum or Plasma,LOINC,Yes,Is a
4097664,26758005,Albumin measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,4497623,3024561,1751-7,Albumin [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3033575,742-7,Monocytes [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,4354979,3033575,742-7,Monocytes [#/volume] in Blood by Automated count,LOINC,No,
3013429,704-7,Basophils [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,4211501,3013429,704-7,Basophils [#/volume] in Blood by Automated count,LOINC,No,
4095055,250637003,ALT - blood measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,4194759,3006923,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3009542,20570-8,Hematocrit [Volume Fraction] of Blood,Lab Test,Measurement,LOINC,Valid,Standard,4165543,3009542,20570-8,Hematocrit [Volume Fraction] of Blood,LOINC,No,
4018317,104688003,"Glucose measurement, quantitative",Clinical Observation,Measurement,SNOMED,Valid,Standard,4108063,3004077,32016-8,Glucose [Mass/volume] in Capillary blood,LOINC,Yes,Is a
42527086,60949-5,Mean airway pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,4047215,42527086,60949-5,Mean airway pressure,LOINC,No,
3022217,6301-6,INR in Platelet poor plasma by Coagulation assay,Lab Test,Measurement,LOINC,Valid,Standard,3953194,3022217,6301-6,INR in Platelet poor plasma by Coagulation assay,LOINC,No,
3034426,5902-2,Prothrombin time (PT),Lab Test,Measurement,LOINC,Valid,Standard,3866708,3034426,5902-2,Prothrombin time (PT),LOINC,No,
37174016,67541000237108,Lymphocyte count in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,3729263,3004327,731-0,Lymphocytes [#/volume] in Blood by Automated count,LOINC,Yes,Subsumes
4137083,425401001,Pain intensity rating scale,Staging / Scales,Measurement,SNOMED,Valid,Standard,3652310,4137083,425401001,Pain intensity rating scale,SNOMED,No,
3032445,50064-5,Ideal body weight,Clinical Observation,Measurement,LOINC,Valid,Standard,3626078,3032445,50064-5,Ideal body weight,LOINC,No,
4144235,33747003,"Glucose measurement, blood",Clinical Observation,Measurement,SNOMED,Valid,Standard,3281174,3011424,2340-8,Glucose [Mass/volume] in Blood by Automated test strip,LOINC,Yes,Subsumes
3046900,33256-9,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,3235013,3046900,33256-9,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,LOINC,No,
4201235,301898006,Body surface area,Observable Entity,Measurement,SNOMED,Valid,Standard,3089401,4201235,301898006,Body surface area,SNOMED,No,
3030494,50957-0,Manual differential performed [Presence] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,2860096,3030494,50957-0,Manual differential performed [Presence] in Blood,LOINC,No,
3018677,14979-9,aPTT in Platelet poor plasma by Coagulation assay,Lab Test,Measurement,LOINC,Valid,Standard,2800369,3018677,14979-9,aPTT in Platelet poor plasma by Coagulation assay,LOINC,No,
37175121,25231000237103,PO2 (partial pressure of oxygen) in arterial blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,2723189,3027801,2703-7,Oxygen [Partial pressure] in Arterial blood,LOINC,Yes,Is a
3005424,8277-6,Body surface area,Clinical Observation,Measurement,LOINC,Valid,Standard,2679756,3005424,8277-6,Body surface area,LOINC,No,
1075460,1304152003,Partial pressure of carbon dioxide in arterial blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,2619561,3027946,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,LOINC,Yes,Subsumes
4215028,81065003,pH measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,2607769,3019977,2744-1,pH of Arterial blood,LOINC,Yes,Is a
21490850,76212-0,Invasive Blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,2546407,21490850,76212-0,Invasive Blood pressure,LOINC,No,
4194291,312471006,Blood bicarbonate measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,2397103,3003396,1925-7,Base excess in Arterial blood by calculation,LOINC,Yes,Is a
4227915,88645003,Bicarbonate measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,2325042,3008152,1960-4,Bicarbonate [Moles/volume] in Arterial blood,LOINC,Yes,Subsumes
40762636,59574-4,Body mass index (BMI) [Percentile],Clinical Observation,Measurement,LOINC,Valid,Standard,2323284,40762636,59574-4,Body mass index (BMI) [Percentile],LOINC,No,
3022875,20077-4,Positive end expiratory pressure setting Ventilator,Clinical Observation,Measurement,LOINC,Valid,Standard,2294170,3022875,20077-4,Positive end expiratory pressure setting Ventilator,LOINC,No,
37172941,55701000237103,Potassium molar concentration in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,2271120,3005456,6298-4,Potassium [Moles/volume] in Blood,LOINC,Yes,Is a
4227915,88645003,Bicarbonate measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,2225541,3016293,1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,LOINC,Yes,Subsumes
3014007,2714-4,Fractional oxyhemoglobin in Arterial blood,Lab Test,Measurement,LOINC,Valid,Standard,2196032,3014007,2714-4,Fractional oxyhemoglobin in Arterial blood,LOINC,No,
4020553,104847001,Oxygen saturation measurement,Procedure,Measurement,SNOMED,Valid,Standard,2172622,4020553,104847001,Oxygen saturation measurement,SNOMED,No,
3053331,49024-3,Differential cell count method - Blood,Lab Test,Measurement,LOINC,Valid,Standard,2151933,3053331,49024-3,Differential cell count method - Blood,LOINC,No,
37172736,54381000237109,Sodium molar concentration in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,2133404,3000285,2947-0,Sodium [Moles/volume] in Blood,LOINC,Yes,Is a
4012826,165426009,Nucleated red blood cell count procedure,Clinical Observation,Measurement,SNOMED,Valid,Standard,1940593,3007238,771-6,Nucleated erythrocytes [#/volume] in Blood by Automated count,LOINC,Yes,Subsumes
21490675,60985-9,Central venous pressure (CVP),Clinical Observation,Measurement,LOINC,Valid,Standard,1880553,21490675,60985-9,Central venous pressure (CVP),LOINC,No,
3007646,19840-8,Breath rate spontaneous and mechanical --on ventilator,Clinical Observation,Measurement,LOINC,Valid,Standard,1740231,3007646,19840-8,Breath rate spontaneous and mechanical --on ventilator,LOINC,No,
4118986,302787001,Bilirubin measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,1723245,3027597,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,LOINC,Yes,Subsumes
37172618,53481000237103,Lactate molar concentration in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,1684118,3047181,32693-4,Lactate [Moles/volume] in Blood,LOINC,Yes,Subsumes
36684829,457441000124102,Richmond Agitation-Sedation Scale,Staging / Scales,Measurement,SNOMED,Valid,Standard,1678597,36684829,457441000124102,Richmond Agitation-Sedation Scale,SNOMED,No,
3007461,26515-7,Platelets [#/volume] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,1461185,3007461,26515-7,Platelets [#/volume] in Blood,LOINC,No,
40758903,55782-7,Hemoglobin [Mass/volume] in Blood by Oximetry,Lab Test,Measurement,LOINC,Valid,Standard,1459609,40758903,55782-7,Hemoglobin [Mass/volume] in Blood by Oximetry,LOINC,No,
3015182,21000-5,Erythrocyte distribution width [Entitic volume] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,1431112,3015182,21000-5,Erythrocyte distribution width [Entitic volume] by Automated count,LOINC,No,
3010813,26464-8,Leukocytes [#/volume] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,1391720,3010813,26464-8,Leukocytes [#/volume] in Blood,LOINC,No,
3007469,19834-1,Breath rate setting Ventilator,Clinical Observation,Measurement,LOINC,Valid,Standard,1389162,3007469,19834-1,Breath rate setting Ventilator,LOINC,No,
4324383,70901006,Creatinine measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,1367058,3051825,38483-4,Creatinine [Mass/volume] in Blood,LOINC,Yes,Is a
4030871,14089001,Red blood cell count,Clinical Observation,Measurement,SNOMED,Valid,Standard,1354849,3026361,26453-1,Erythrocytes [#/volume] in Blood,LOINC,Yes,Is a
3024386,776-5,Platelet mean volume [Entitic volume] in Blood by Rees-Ecker,Lab Test,Measurement,LOINC,Valid,Standard,1269532,3024386,776-5,Platelet mean volume [Entitic volume] in Blood by Rees-Ecker,LOINC,No,
3002385,30385-9,Erythrocyte distribution width [Ratio],Lab Test,Measurement,LOINC,Valid,Standard,1239835,3002385,30385-9,Erythrocyte distribution width [Ratio],LOINC,No,
37172939,55681000237100,Ionised calcium molar concentration in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,1228897,3021119,1994-3,Calcium.ionized [Moles/volume] in Blood,LOINC,Yes,Is a
3002888,30384-2,Erythrocyte distribution width [Entitic volume],Lab Test,Measurement,LOINC,Valid,Standard,1198955,3002888,30384-2,Erythrocyte distribution width [Entitic volume],LOINC,No,
4149883,30994003,"Glucose measurement, urine",Clinical Observation,Measurement,SNOMED,Valid,Standard,1182490,3020399,2350-7,Glucose [Mass/volume] in Urine,LOINC,Yes,Subsumes
3029925,50553-7,Color of Urine by Auto,Lab Test,Measurement,LOINC,Valid,Standard,1160924,3029925,50553-7,Color of Urine by Auto,LOINC,No,
4018317,104688003,"Glucose measurement, quantitative",Clinical Observation,Measurement,SNOMED,Valid,Standard,1138856,3000483,2339-0,Glucose [Mass/volume] in Blood,LOINC,Yes,Subsumes
3032080,34714-6,INR in Blood by Coagulation assay,Lab Test,Measurement,LOINC,Valid,Standard,1108401,3032080,34714-6,INR in Blood by Coagulation assay,LOINC,No,
3008939,763-3,Band form neutrophils [#/volume] in Blood by Manual count,Lab Test,Measurement,LOINC,Valid,Standard,1075691,3008939,763-3,Band form neutrophils [#/volume] in Blood by Manual count,LOINC,No,
4098199,252384001,Urine dipstick for bilirubin,Clinical Observation,Measurement,SNOMED,Valid,Standard,1074738,3030477,50551-1,Bilirubin.total [Presence] in Urine by Automated test strip,LOINC,Yes,Is a
37172939,55681000237100,Ionised calcium molar concentration in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,1065570,3050068,47596-2,Calcium.ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE),LOINC,Yes,Is a
40761514,58413-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,1050097,40761514,58413-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,LOINC,No,
4227915,88645003,Bicarbonate measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,1039671,3006576,1959-6,Bicarbonate [Moles/volume] in Blood,LOINC,Yes,Subsumes
4154501,271348005,Urine dipstick for pH,Clinical Observation,Measurement,SNOMED,Valid,Standard,1018927,3029305,50560-2,pH of Urine by Automated test strip,LOINC,Yes,Subsumes
3027162,5778-6,Color of Urine,Lab Test,Measurement,LOINC,Valid,Standard,1003489,3027162,5778-6,Color of Urine,LOINC,No,
37174016,67541000237108,Lymphocyte count in blood,Clinical Observation,Measurement,SNOMED,Valid,Standard,994127,3019198,26474-7,Lymphocytes [#/volume] in Blood,LOINC,Yes,Is a
3029709,50552-9,Clarity in Urine by Refractometry automated,Lab Test,Measurement,LOINC,Valid,Standard,992333,3029709,50552-9,Clarity in Urine by Refractometry automated,LOINC,No,
3012677,9000-1,Fluid intake oral Measured,Clinical Observation,Measurement,LOINC,Valid,Standard,991425,3012677,9000-1,Fluid intake oral Measured,LOINC,No,
4097313,25164004,"Ketone bodies measurement, quantitative",Clinical Observation,Measurement,SNOMED,Valid,Standard,977667,3030173,50557-8,Ketones [Mass/volume] in Urine by Automated test strip,LOINC,Yes,Is a
3017732,26499-4,Neutrophils [#/volume] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,977038,3017732,26499-4,Neutrophils [#/volume] in Blood,LOINC,No,
4151414,269879003,Urine dipstick for glucose,Clinical Observation,Measurement,SNOMED,Valid,Standard,977022,3039896,53328-1,Glucose [Mass/volume] in Urine by Automated test strip,LOINC,Yes,Is a
40762365,59274-1,Oxygen content in Arterial blood by calculation,Lab Test,Measurement,LOINC,Valid,Standard,976003,40762365,59274-1,Oxygen content in Arterial blood by calculation,LOINC,No,
3021337,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,975165,3021337,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,LOINC,No,
3018010,26511-6,Neutrophils/100 leukocytes in Blood,Lab Test,Measurement,LOINC,Valid,Standard,964580,3018010,26511-6,Neutrophils/100 leukocytes in Blood,LOINC,No,
3002030,26478-8,Lymphocytes/100 leukocytes in Blood,Lab Test,Measurement,LOINC,Valid,Standard,936097,3002030,26478-8,Lymphocytes/100 leukocytes in Blood,LOINC,No,
4096101,250554003,Measurement of oxygen saturation at periphery,Procedure,Measurement,SNOMED,Valid,Standard,894734,4096101,250554003,Measurement of oxygen saturation at periphery,SNOMED,No,
3006504,26450-7,Eosinophils/100 leukocytes in Blood,Lab Test,Measurement,LOINC,Valid,Standard,866546,3006504,26450-7,Eosinophils/100 leukocytes in Blood,LOINC,No,
3040168,51584-1,Immature granulocytes [#/volume] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,862503,3040168,51584-1,Immature granulocytes [#/volume] in Blood,LOINC,No,
3012608,32200-8,Segmented neutrophils/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,854225,3012608,32200-8,Segmented neutrophils/100 leukocytes in Blood by Automated count,LOINC,No,
4120299,302791006,Urine dipstick for nitrite,Clinical Observation,Measurement,SNOMED,Valid,Standard,847692,3030758,50558-6,Nitrite [Presence] in Urine by Automated test strip,LOINC,Yes,Is a
4097430,25197003,Sodium measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,843583,3043706,32717-1,Sodium [Moles/volume] in Arterial blood,LOINC,Yes,Is a
4098519,250644007,LDH blood measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,841366,3022250,14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,LOINC,Yes,Subsumes
1617534,96826-3,Cardiovascular [Score] SOFA,Clinical Observation,Measurement,LOINC,Valid,Standard,834764,1617534,96826-3,Cardiovascular [Score] SOFA,LOINC,No,
4098200,252385000,Urine dipstick for leukocyte esterase,Clinical Observation,Measurement,SNOMED,Valid,Standard,830126,40763086,60026-2,Leukocyte esterase [Presence] in Urine by Automated test strip,LOINC,Yes,Is a
3011987,10378-8,Polychromasia [Presence] in Blood by Light microscopy,Lab Test,Measurement,LOINC,Valid,Standard,827190,3011987,10378-8,Polychromasia [Presence] in Blood by Light microscopy,LOINC,No,
4154500,271346009,Urine dipstick for protein,Clinical Observation,Measurement,SNOMED,Valid,Standard,825005,3029872,50561-0,Protein [Mass/volume] in Urine by Automated test strip,LOINC,Yes,Subsumes
