Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
2313869,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",Undefined,Procedure,CPT4,Invalid,Non-standard,366839,2313869,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",CPT4,No,
2211327,70450,"Computed tomography, head or brain; without contrast material",Undefined,Procedure,CPT4,Invalid,Non-standard,358400,2211327,70450,"Computed tomography, head or brain; without contrast material",CPT4,No,
4198096,,Therapeutic exercise,Undefined,Procedure,SNOMED,Invalid,Non-standard,333955,2314284,97110,"Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility",CPT4,Yes,CPT4 - SNOMED eq
4027135,,Subsequent hospital visit by physician,Undefined,Observation,SNOMED,Invalid,Non-standard,316171,2514407,99231,"Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward or low level of medical decision making. When using t...",CPT4,Yes,CPT4 - SNOMED eq
1072999,1290963007,"Plain X-ray of chest, combined posteroanterior and lateral",Undefined,Procedure,SNOMED,Invalid,Non-standard,315141,2211361,71020,"Radiologic examination, chest, 2 views, frontal and lateral (Deprecated)",CPT4,Yes,Maps to
4151779,,Initial patient assessment,Undefined,Procedure,SNOMED,Invalid,Non-standard,309420,2514406,99223,"Initial hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date...",CPT4,Yes,CPT4 - SNOMED eq
4187078,46825001,Electrocardiographic monitoring,Procedure,Procedure,SNOMED,Valid,Standard,306294,4187078,46825001,Electrocardiographic monitoring,SNOMED,No,
2213283,88305,"Level IV - Surgical pathology, gross and microscopic examination Abortion - spontaneous/missed Artery, biopsy Bone marrow, biopsy Bone exostosis Brain/meninges, other than for tumor resection Breast, biopsy, not requiring microscopic evaluation of...",Undefined,Procedure,CPT4,Invalid,Non-standard,239842,2213283,88305,"Level IV - Surgical pathology, gross and microscopic examination Abortion - spontaneous/missed Artery, biopsy Bone marrow, biopsy Bone exostosis Brain/meninges, other than for tumor resection Breast, biopsy, not requiring microscopic evaluation of...",CPT4,No,
725069,71046,"Radiologic examination, chest; 2 views",Undefined,Procedure,CPT4,Invalid,Non-standard,236555,725069,71046,"Radiologic examination, chest; 2 views",CPT4,No,
4046799,,Gait training on stairs,Undefined,Observation,SNOMED,Invalid,Non-standard,228025,2314287,97116,"Therapeutic procedure, 1 or more areas, each 15 minutes; gait training (includes stair climbing)",CPT4,Yes,CPT4 - SNOMED eq
4152129,,Injection of therapeutic agent,Undefined,Procedure,SNOMED,Invalid,Non-standard,220794,2314216,96375,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)",CPT4,Yes,CPT4 - SNOMED eq
2414398,99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the...",Undefined,Observation,CPT4,Invalid,Non-standard,210564,2414398,99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the...",CPT4,No,
4335400,432370003,Computed tomography of abdomen and pelvis with contrast,Procedure,Procedure,SNOMED,Valid,Standard,193313,4335400,432370003,Computed tomography of abdomen and pelvis with contrast,SNOMED,No,
4118088,,Injection of therapeutic substance into subcutaneous tissue,Undefined,Procedure,SNOMED,Invalid,Non-standard,187338,2314213,96372,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular",CPT4,Yes,CPT4 - SNOMED eq
4181300,42869005,"Diagnostic radiography of chest, combined PA and lateral",Procedure,Procedure,SNOMED,Valid,Non-standard,185738,4181300,42869005,"Diagnostic radiography of chest, combined PA and lateral",SNOMED,No,
4030886,,Intravenous infusion,Undefined,Procedure,SNOMED,Invalid,Non-standard,167117,2314206,96365,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour",CPT4,Yes,CPT4 - SNOMED eq
4065277,,Standard ECG,Undefined,Procedure,SNOMED,Invalid,Non-standard,166836,2313814,93000,"Electrocardiogram, routine ECG with at least 12 leads; with interpretation and report",CPT4,Yes,CPT4 - SNOMED eq
2314049,94762,Noninvasive ear or pulse oximetry for oxygen saturation; by continuous overnight monitoring (separate procedure),Undefined,Procedure,CPT4,Invalid,Non-standard,166338,2314049,94762,Noninvasive ear or pulse oximetry for oxygen saturation; by continuous overnight monitoring (separate procedure),CPT4,No,
724944,74018,"Radiologic examination, abdomen; 1 view",Undefined,Procedure,CPT4,Invalid,Non-standard,166214,724944,74018,"Radiologic examination, abdomen; 1 view",CPT4,No,
2314035,94660,"Continuous positive airway pressure ventilation (CPAP), initiation and management",Undefined,Procedure,CPT4,Invalid,Non-standard,164404,2314035,94660,"Continuous positive airway pressure ventilation (CPAP), initiation and management",CPT4,No,
4105925,,MRI of brain and brain stem,Undefined,Procedure,SNOMED,Invalid,Non-standard,160019,2211353,70553,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences",CPT4,Yes,CPT4 - SNOMED eq
2514414,99239,Hospital inpatient or observation discharge day management; more than 30 minutes on the date of the encounter,Undefined,Procedure,CPT4,Invalid,Non-standard,159950,2514414,99239,Hospital inpatient or observation discharge day management; more than 30 minutes on the date of the encounter,CPT4,No,
4021951,,One to one care,Undefined,Observation,SNOMED,Invalid,Non-standard,159915,2314297,97535,"Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact, each 15...",CPT4,Yes,CPT4 - SNOMED eq
2514413,99238,Hospital inpatient or observation discharge day management; 30 minutes or less on the date of the encounter,Undefined,Procedure,CPT4,Invalid,Non-standard,159763,2514413,99238,Hospital inpatient or observation discharge day management; 30 minutes or less on the date of the encounter,CPT4,No,
4151779,,Initial patient assessment,Undefined,Procedure,SNOMED,Invalid,Non-standard,158714,2514405,99222,"Initial hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the ...",CPT4,Yes,CPT4 - SNOMED eq
4152129,,Injection of therapeutic agent,Undefined,Procedure,SNOMED,Invalid,Non-standard,158248,2314215,96374,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug",CPT4,Yes,CPT4 - SNOMED eq
4195817,,Duplex ultrasonography of veins of upper limb,Undefined,Procedure,SNOMED,Invalid,Non-standard,158114,2313990,93970,Duplex scan of extremity veins including responses to compression and other maneuvers; complete bilateral study,CPT4,Yes,CPT4 - SNOMED eq
2414397,99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the enco...",Undefined,Observation,CPT4,Invalid,Non-standard,156512,2414397,99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the enco...",CPT4,No,
4212044,416733000,Supine plain X-ray of abdomen,Procedure,Procedure,SNOMED,Valid,Standard,149544,4212044,416733000,Supine plain X-ray of abdomen,SNOMED,No,
2314229,96413,"Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug",Undefined,Procedure,CPT4,Invalid,Non-standard,143706,2314229,96413,"Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug",CPT4,No,
4327032,75385009,CT of thorax with contrast,Procedure,Procedure,SNOMED,Valid,Standard,142445,4327032,75385009,CT of thorax with contrast,SNOMED,No,
36713176,383371000119108,CT of head without contrast,Procedure,Procedure,SNOMED,Valid,Standard,133771,36713176,383371000119108,CT of head without contrast,SNOMED,No,
4090698,18640002,"Echography, M-mode",Procedure,Procedure,SNOMED,Valid,Standard,129033,4090698,18640002,"Echography, M-mode",SNOMED,No,
4083667,,Intravenous fluid replacement,Undefined,Procedure,SNOMED,Invalid,Non-standard,128785,2314205,96361,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)",CPT4,Yes,CPT4 - SNOMED eq
2211378,71250,"Computed tomography, thorax, diagnostic; without contrast material",Undefined,Procedure,CPT4,Invalid,Non-standard,126195,2211378,71250,"Computed tomography, thorax, diagnostic; without contrast material",CPT4,No,
4057900,,Plain X-ray of abdomen,Undefined,Procedure,SNOMED,Invalid,Non-standard,117752,2211506,74000,"Radiologic examination, abdomen; single anteroposterior view (Deprecated)",CPT4,Yes,CPT4 - SNOMED eq
4213297,39228008,Surgical pathology procedure,Procedure,Procedure,SNOMED,Valid,Standard,114198,4213297,39228008,Surgical pathology procedure,SNOMED,No,
2109747,51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging",Undefined,Procedure,CPT4,Invalid,Non-standard,113527,2109747,51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging",CPT4,No,
4133839,127779003,Oscillating positive expiratory pressure (flutter) physiotherapy,Undefined,Procedure,SNOMED,Invalid,Non-standard,108573,44816450,94669,"Mechanical chest wall oscillation to facilitate lung function, per session",CPT4,Yes,Maps to
35615189,16631761000119104,Collection of blood via implanted venous access device,Undefined,Procedure,SNOMED,Invalid,Non-standard,107753,2108253,36591,Collection of blood specimen from a completely implantable venous access device,CPT4,Yes,Maps to
4013967,,CT with intravenous contrast,Undefined,Procedure,SNOMED,Invalid,Non-standard,100705,2211381,71275,"Computed tomographic angiography, chest (noncoronary), with contrast material(s), including noncontrast images, if performed, and image postprocessing",CPT4,Yes,CPT4 - SNOMED eq
4039926,,Manual therapy,Undefined,Procedure,SNOMED,Invalid,Non-standard,97064,2314290,97140,"Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes",CPT4,Yes,CPT4 - SNOMED eq
2213418,90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",Undefined,Procedure,CPT4,Invalid,Non-standard,95842,2213418,90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",CPT4,No,
2211779,76937,"Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites, documentation of selected vessel patency, concurrent realtime ultrasound visualization of vascular needle entry, with permanent recording and report...",Undefined,Procedure,CPT4,Invalid,Non-standard,95656,2211779,76937,"Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites, documentation of selected vessel patency, concurrent realtime ultrasound visualization of vascular needle entry, with permanent recording and report...",CPT4,No,
4030886,,Intravenous infusion,Undefined,Procedure,SNOMED,Invalid,Non-standard,93805,2314208,96367,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)",CPT4,Yes,CPT4 - SNOMED eq
37117305,16457501000119102,CT of abdomen and pelvis without contrast,Procedure,Procedure,SNOMED,Valid,Standard,91243,37117305,16457501000119102,CT of abdomen and pelvis without contrast,SNOMED,No,
2213284,88307,"Level V - Surgical pathology, gross and microscopic examination Adrenal, resection Bone - biopsy/curettings Bone fragment(s), pathologic fracture Brain, biopsy Brain/meninges, tumor resection Breast, excision of lesion, requiring microscopic evalu...",Undefined,Procedure,CPT4,Invalid,Non-standard,90643,2213284,88307,"Level V - Surgical pathology, gross and microscopic examination Adrenal, resection Bone - biopsy/curettings Bone fragment(s), pathologic fracture Brain, biopsy Brain/meninges, tumor resection Breast, excision of lesion, requiring microscopic evalu...",CPT4,No,
4080877,278110001,Radiographic imaging - action,Procedure,Procedure,SNOMED,Valid,Standard,88805,2006700,87.49,Other chest x-ray,ICD9Proc,Yes,Has method
2108261,36620,"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); percutaneous",Undefined,Procedure,CPT4,Invalid,Non-standard,84921,2108261,36620,"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); percutaneous",CPT4,No,
4279311,,Physical medicine neuromuscular training,Undefined,Observation,SNOMED,Invalid,Non-standard,83122,2314285,97112,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities",CPT4,Yes,CPT4 - SNOMED eq
4132629,410551005,Family history taking,Procedure,Procedure,SNOMED,Valid,Standard,80458,4132629,410551005,Family history taking,SNOMED,No,
0,NULL/Missing,NULL/Missing procedure concept,Undefined,Metadata,None,Invalid,Non-standard,80396,0,NULL/Missing,NULL/Missing procedure concept,None,No,
2213572,90935,Hemodialysis procedure with single evaluation by a physician or other qualified health care professional,Undefined,Procedure,CPT4,Invalid,Non-standard,80081,2213572,90935,Hemodialysis procedure with single evaluation by a physician or other qualified health care professional,CPT4,No,
4133840,,Spirometry,Undefined,Measurement,SNOMED,Invalid,Non-standard,76963,2314004,94010,"Spirometry, including graphic record, total and timed vital capacity, expiratory flow rate measurement(s), with or without maximal voluntary ventilation",CPT4,Yes,CPT4 - SNOMED eq
4176580,,"Echography of abdomen, B-scan, limited",Undefined,Procedure,SNOMED,Invalid,Non-standard,76038,2211741,76705,"Ultrasound, abdominal, real time with image documentation; limited (eg, single organ, quadrant, follow-up)",CPT4,Yes,CPT4 - SNOMED eq
4030886,,Intravenous infusion,Undefined,Procedure,SNOMED,Invalid,Non-standard,75877,2314207,96366,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)",CPT4,Yes,CPT4 - SNOMED eq
4152129,,Injection of therapeutic agent,Undefined,Procedure,SNOMED,Invalid,Non-standard,74009,2314217,96376,"Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)",CPT4,Yes,CPT4 - SNOMED eq
42628688,99152,"Moderate sedation services provided by the same physician or other qualified health care professional performing the diagnostic or therapeutic service that the sedation supports, requiring the presence of an independent trained observer to assist ...",Undefined,Procedure,CPT4,Invalid,Non-standard,73863,42628688,99152,"Moderate sedation services provided by the same physician or other qualified health care professional performing the diagnostic or therapeutic service that the sedation supports, requiring the presence of an independent trained observer to assist ...",CPT4,No,
4045049,129284003,Surgical action,Procedure,Procedure,SNOMED,Valid,Standard,73740,2726351,02HV33Z,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",ICD10PCS,Yes,Has method
4151779,,Initial patient assessment,Undefined,Procedure,SNOMED,Invalid,Non-standard,72808,2514404,99221,"Initial hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and straightforward or low level medical decision making. When using total t...",CPT4,Yes,CPT4 - SNOMED eq
2213576,90945,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a physician or other qualified health care professional",Undefined,Procedure,CPT4,Invalid,Non-standard,70401,2213576,90945,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a physician or other qualified health care professional",CPT4,No,
2314048,94761,"Noninvasive ear or pulse oximetry for oxygen saturation; multiple determinations (eg, during exercise)",Undefined,Procedure,CPT4,Invalid,Non-standard,67662,2314048,94761,"Noninvasive ear or pulse oximetry for oxygen saturation; multiple determinations (eg, during exercise)",CPT4,No,
4152022,,Doppler studies,Undefined,Procedure,SNOMED,Invalid,Non-standard,64903,2313879,93320,"Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete",CPT4,Yes,CPT4 - SNOMED eq
2108190,36556,Insertion of non-tunneled centrally inserted central venous catheter; age 5 years or older,Undefined,Procedure,CPT4,Invalid,Non-standard,64546,2108190,36556,Insertion of non-tunneled centrally inserted central venous catheter; age 5 years or older,CPT4,No,
4104747,25656009,"Physical examination, complete",Procedure,Procedure,SNOMED,Valid,Standard,61984,4104747,25656009,"Physical examination, complete",SNOMED,No,
4238738,,Physical therapy procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,57930,2314262,97001,Physical therapy evaluation (Deprecated),CPT4,Yes,CPT4 - SNOMED eq
2514399,99215,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the enc...",Undefined,Observation,CPT4,Invalid,Non-standard,57771,2514399,99215,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the enc...",CPT4,No,
4058335,169069000,CT of chest,Procedure,Procedure,SNOMED,Valid,Standard,56989,4058335,169069000,CT of chest,SNOMED,No,
2211420,72170,"Radiologic examination, pelvis; 1 or 2 views",Undefined,Procedure,CPT4,Invalid,Non-standard,56380,2211420,72170,"Radiologic examination, pelvis; 1 or 2 views",CPT4,No,
4125350,303653007,CT of head,Procedure,Procedure,SNOMED,Valid,Standard,56065,4125350,303653007,CT of head,SNOMED,No,
44808555,859311000000101,Provision of mechanical ventilator,Procedure,Procedure,SNOMED,Valid,Standard,54897,44808555,859311000000101,Provision of mechanical ventilator,SNOMED,No,
4303829,418583000,US scan venography of lower limbs,Procedure,Procedure,SNOMED,Valid,Standard,54568,4303829,418583000,US scan venography of lower limbs,SNOMED,No,
36713283,572061000119104,CT cervical spine without contrast,Procedure,Procedure,SNOMED,Valid,Standard,54152,36713283,572061000119104,CT cervical spine without contrast,SNOMED,No,
4261497,45036003,Ultrasonography of abdomen,Procedure,Procedure,SNOMED,Valid,Standard,53936,4261497,45036003,Ultrasonography of abdomen,SNOMED,No,
4136834,31683008,"Retroperitoneal echography, B-scan, complete",Undefined,Procedure,SNOMED,Invalid,Non-standard,53564,2211742,76770,"Ultrasound, retroperitoneal (eg, renal, aorta, nodes), real time with image documentation; complete",CPT4,Yes,Maps to
4102442,28520004,Venipuncture for blood test,Procedure,Procedure,SNOMED,Valid,Standard,52982,4102442,28520004,Venipuncture for blood test,SNOMED,No,
2514571,99479,"Subsequent intensive care, per day, for the evaluation and management of the recovering low birth weight infant (present body weight of 1500-2500 grams)",Undefined,Procedure,CPT4,Invalid,Non-standard,52863,2514571,99479,"Subsequent intensive care, per day, for the evaluation and management of the recovering low birth weight infant (present body weight of 1500-2500 grams)",CPT4,No,
4337306,,VAD - Implantation of ventricular assist device,Undefined,Procedure,SNOMED,Invalid,Non-standard,52550,40756824,93750,"Interrogation of ventricular assist device (VAD), in person, with physician or other qualified health care professional analysis of device parameters (eg, drivelines, alarms, power surges), review of device function (eg, flow and volume status, se...",CPT4,Yes,CPT4 - SNOMED eq
4185230,,Real time scan,Undefined,Procedure,SNOMED,Invalid,Non-standard,52010,2211740,76700,"Ultrasound, abdominal, real time with image documentation; complete",CPT4,Yes,CPT4 - SNOMED eq
4230911,40701008,Echocardiography,Procedure,Procedure,SNOMED,Valid,Standard,51846,4230911,40701008,Echocardiography,SNOMED,No,
4013967,,CT with intravenous contrast,Undefined,Procedure,SNOMED,Invalid,Non-standard,51829,2211339,70496,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing",CPT4,Yes,CPT4 - SNOMED eq
4181438,,Radiography of foot,Undefined,Procedure,SNOMED,Invalid,Non-standard,51310,2211491,73630,"Radiologic examination, foot; complete, minimum of 3 views",CPT4,Yes,CPT4 - SNOMED eq
4300190,77485009,Cytopathology procedure or service,Procedure,Procedure,SNOMED,Valid,Standard,50867,4300190,77485009,Cytopathology procedure or service,SNOMED,No,
2514442,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",Undefined,Procedure,CPT4,Invalid,Non-standard,50500,2514442,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",CPT4,No,
46257688,77386,"Intensity modulated radiation treatment delivery (IMRT), includes guidance and tracking, when performed; complex",Undefined,Procedure,CPT4,Invalid,Non-standard,50440,46257688,77386,"Intensity modulated radiation treatment delivery (IMRT), includes guidance and tracking, when performed; complex",CPT4,No,
42627953,97162,"Physical therapy evaluation: moderate complexity, requiring these components: A history of present problem with 1-2 personal factors and/or comorbidities that impact the plan of care; An examination of body systems using standardized tests and mea...",Undefined,Procedure,CPT4,Invalid,Non-standard,50184,42627953,97162,"Physical therapy evaluation: moderate complexity, requiring these components: A history of present problem with 1-2 personal factors and/or comorbidities that impact the plan of care; An examination of body systems using standardized tests and mea...",CPT4,No,
4019824,,Transesophageal echocardiography,Undefined,Procedure,SNOMED,Invalid,Non-standard,50111,2313872,93312,"Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording); including probe placement, image acquisition, interpretation and report",CPT4,Yes,CPT4 - SNOMED eq
2514572,99480,"Subsequent intensive care, per day, for the evaluation and management of the recovering infant (present body weight of 2501-5000 grams)",Undefined,Procedure,CPT4,Invalid,Non-standard,50077,2514572,99480,"Subsequent intensive care, per day, for the evaluation and management of the recovering infant (present body weight of 2501-5000 grams)",CPT4,No,
4163858,45444009,Ventilation,Procedure,Procedure,SNOMED,Valid,Standard,50051,2787823,5A09357,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure",ICD10PCS,Yes,Has focus
4083667,,Intravenous fluid replacement,Undefined,Procedure,SNOMED,Invalid,Non-standard,49423,2314204,96360,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour",CPT4,Yes,CPT4 - SNOMED eq
4028813,,Computed tomography without intravenous contrast followed by intravenous contrast and more sections,Undefined,Procedure,SNOMED,Invalid,Non-standard,49029,2211340,70498,"Computed tomographic angiography, neck, with contrast material(s), including noncontrast images, if performed, and image postprocessing",CPT4,Yes,CPT4 - SNOMED eq
42628094,99153,"Moderate sedation services provided by the same physician or other qualified health care professional performing the diagnostic or therapeutic service that the sedation supports, requiring the presence of an independent trained observer to assist ...",Undefined,Procedure,CPT4,Invalid,Non-standard,48477,42628094,99153,"Moderate sedation services provided by the same physician or other qualified health care professional performing the diagnostic or therapeutic service that the sedation supports, requiring the presence of an independent trained observer to assist ...",CPT4,No,
4105925,,MRI of brain and brain stem,Undefined,Procedure,SNOMED,Invalid,Non-standard,48226,2211351,70551,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material",CPT4,Yes,CPT4 - SNOMED eq
2313871,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",Undefined,Procedure,CPT4,Invalid,Non-standard,46894,2313871,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",CPT4,No,
36717294,16327691000119101,MRI of brain with contrast,Procedure,Procedure,SNOMED,Valid,Standard,46547,36717294,16327691000119101,MRI of brain with contrast,SNOMED,No,
4167390,417936006,Magnetic resonance angiography of vascular structure of head,Procedure,Procedure,SNOMED,Valid,Standard,46368,4167390,417936006,Magnetic resonance angiography of vascular structure of head,SNOMED,No,
4195817,,Duplex ultrasonography of veins of upper limb,Undefined,Procedure,SNOMED,Invalid,Non-standard,45724,2313991,93971,Duplex scan of extremity veins including responses to compression and other maneuvers; unilateral or limited study,CPT4,Yes,CPT4 - SNOMED eq
2211797,77001,"Fluoroscopic guidance for central venous access device placement, replacement (catheter only or complete), or removal (includes fluoroscopic guidance for vascular access and catheter manipulation, any necessary contrast injections through access s...",Undefined,Procedure,CPT4,Invalid,Non-standard,45528,2211797,77001,"Fluoroscopic guidance for central venous access device placement, replacement (catheter only or complete), or removal (includes fluoroscopic guidance for vascular access and catheter manipulation, any necessary contrast injections through access s...",CPT4,No,
4106220,,Radiography of shoulder,Undefined,Procedure,SNOMED,Invalid,Non-standard,45326,2211446,73030,"Radiologic examination, shoulder; complete, minimum of 2 views",CPT4,Yes,CPT4 - SNOMED eq
4147846,306005,Echography of kidney,Procedure,Procedure,SNOMED,Valid,Standard,44323,4147846,306005,Echography of kidney,SNOMED,No,
2514403,99220,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/... (Dep...",Undefined,Procedure,CPT4,Invalid,Non-standard,44183,2514403,99220,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/... (Dep...",CPT4,No,
2313975,93880,Duplex scan of extracranial arteries; complete bilateral study,Undefined,Procedure,CPT4,Invalid,Non-standard,43512,2313975,93880,Duplex scan of extracranial arteries; complete bilateral study,CPT4,No,
