Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
4047982,135794007,Drug indicated,Context-dependent,Observation,SNOMED,Valid,Standard,257376,4047982,135794007,Drug indicated,SNOMED,No,
761697,1581000124103,Wound dressing type,Observable Entity,Observation,SNOMED,Valid,Standard,253033,761697,1581000124103,Wound dressing type,SNOMED,No,
43530807,609328004,Allergic disposition,Clinical Finding,Observation,SNOMED,Valid,Standard,251542,43530807,609328004,Allergic disposition,SNOMED,No,
4270125,364186005,Urinary bladder feature,Observable Entity,Observation,SNOMED,Valid,Standard,242802,4270125,364186005,Urinary bladder feature,SNOMED,No,
4216746,416595007,Positive end expiratory pressure setting,Observable Entity,Observation,SNOMED,Valid,Standard,218774,4216746,416595007,Positive end expiratory pressure setting,SNOMED,No,
4164116,45710003,Sputum,Substance,Observation,SNOMED,Valid,Standard,212659,4164116,45710003,Sputum,SNOMED,No,
4197461,313193002,Peak flow rate (respiratory),Observable Entity,Measurement,SNOMED,Valid,Standard,207095,4197461,313193002,Peak flow rate (respiratory),SNOMED,No,
36203774,86744-0,Care team,Clinical Observation,Observation,LOINC,Valid,Standard,206435,36203774,86744-0,Care team,LOINC,No,
4076103,224130005,Household composition,Observable Entity,Observation,SNOMED,Valid,Standard,204474,4076103,224130005,Household composition,SNOMED,No,
4150612,278907009,Respiratory pattern,Observable Entity,Observation,SNOMED,Valid,Standard,197037,4150612,278907009,Respiratory pattern,SNOMED,No,
3013360,8684-3,History of Present illness,Clinical Observation,Observation,LOINC,Valid,Standard,195091,3013360,8684-3,History of Present illness,LOINC,No,
4060985,162864005,Body mass index 30+ - obesity,Clinical Finding,Observation,SNOMED,Valid,Standard,193392,4060985,162864005,Body mass index 30+ - obesity,SNOMED,No,
36717001,131531000119103,Long-term current use of aspirin,Context-dependent,Observation,SNOMED,Valid,Standard,189746,36717001,131531000119103,Long-term current use of aspirin,SNOMED,No,
4203711,308273005,Follow-up status,Clinical Finding,Observation,SNOMED,Valid,Standard,186844,4203711,308273005,Follow-up status,SNOMED,No,
4148417,266930008,Exercise history,Observable Entity,Observation,SNOMED,Valid,Standard,184082,4148417,266930008,Exercise history,SNOMED,No,
4189711,39211005,Bowel action,Observable Entity,Observation,SNOMED,Valid,Standard,182950,4189711,39211005,Bowel action,SNOMED,No,
4089233,248603002,Consistency of sputum,Observable Entity,Measurement,SNOMED,Valid,Standard,176704,4089233,248603002,Consistency of sputum,SNOMED,No,
44786868,74213-0,Discharge instructions,Clinical Observation,Note,LOINC,Valid,Standard,174568,44786868,74213-0,Discharge instructions,LOINC,No,
4044908,129264002,Action,Qualifier Value,Observation,SNOMED,Valid,Standard,163678,4044908,129264002,Action,SNOMED,No,
437643,22325002,Abnormal gait,Clinical Finding,Observation,SNOMED,Valid,Standard,163222,437643,22325002,Abnormal gait,SNOMED,No,
4022885,226426002,Meat intake,Observable Entity,Observation,SNOMED,Valid,Standard,160577,4022885,226426002,Meat intake,SNOMED,No,
44802820,517631000000100,Haemodialysis ultrafiltration rate,Observable Entity,Measurement,SNOMED,Valid,Standard,160263,44802820,517631000000100,Haemodialysis ultrafiltration rate,SNOMED,No,
4143063,267065001,Urine appearance,Observable Entity,Measurement,SNOMED,Valid,Standard,158711,4143063,267065001,Urine appearance,SNOMED,No,
4088035,243876005,Screening status,Clinical Finding,Observation,SNOMED,Valid,Standard,155860,4088035,243876005,Screening status,SNOMED,No,
4126966,305060004,Patient care statuses,Clinical Finding,Observation,SNOMED,Valid,Standard,151279,4126966,305060004,Patient care statuses,SNOMED,No,
42528029,84095-9,Do not resuscitate,Clinical Observation,Note,LOINC,Valid,Standard,150181,42528029,84095-9,Do not resuscitate,LOINC,No,
3028553,8716-3,Vital signs,Clinical Observation,Observation,LOINC,Valid,Standard,144493,3028553,8716-3,Vital signs,LOINC,No,
45766277,703398004,Cardiac implant in situ,Clinical Finding,Observation,SNOMED,Valid,Non-standard,142841,45766277,703398004,Cardiac implant in situ,SNOMED,No,
36661379,95417-2,Whether this is the patient's first test for condition of interest,Clinical Observation,Observation,LOINC,Valid,Standard,142291,36661379,95417-2,Whether this is the patient's first test for condition of interest,LOINC,No,
36661383,95421-4,Whether patient resides in a congregate care setting,Clinical Observation,Observation,LOINC,Valid,Standard,136063,36661383,95421-4,Whether patient resides in a congregate care setting,LOINC,No,
36661380,95418-0,Whether patient is employed in a healthcare setting,Clinical Observation,Observation,LOINC,Valid,Standard,135576,36661380,95418-0,Whether patient is employed in a healthcare setting,LOINC,No,
4326744,75367002,Blood pressure,Observable Entity,Measurement,SNOMED,Valid,Standard,130732,4326744,75367002,Blood pressure,SNOMED,No,
42528957,82810-3,Pregnancy status,Clinical Observation,Observation,LOINC,Valid,Standard,129469,42528957,82810-3,Pregnancy status,LOINC,No,
37109774,723620004,Requires vaccination,Clinical Finding,Observation,SNOMED,Valid,Standard,125409,37109774,723620004,Requires vaccination,SNOMED,No,
4073163,224362002,Employment status,Observable Entity,Observation,SNOMED,Valid,Standard,124832,4073163,224362002,Employment status,SNOMED,No,
40772152,69730-0,Instructions,Clinical Observation,Note,LOINC,Valid,Standard,122560,40772152,69730-0,Instructions,LOINC,No,
36661381,95419-8,Whether the patient has symptoms related to condition of interest,Clinical Observation,Observation,LOINC,Valid,Standard,121461,36661381,95419-8,Whether the patient has symptoms related to condition of interest,LOINC,No,
4353718,250877009,Mandatory breath rate,Observable Entity,Observation,SNOMED,Valid,Standard,119561,4353718,250877009,Mandatory breath rate,SNOMED,No,
3020278,10187-3,Review of systems Narrative - Reported,Clinical Observation,Observation,LOINC,Valid,Standard,119536,3020278,10187-3,Review of systems Narrative - Reported,LOINC,No,
36661382,95420-6,Whether the patient was admitted to intensive care unit (ICU) for condition of interest,Clinical Observation,Observation,LOINC,Valid,Standard,119508,36661382,95420-6,Whether the patient was admitted to intensive care unit (ICU) for condition of interest,LOINC,No,
46236895,77974-4,Whether the patient was hospitalized for condition of interest,Clinical Observation,Observation,LOINC,Valid,Standard,118878,46236895,77974-4,Whether the patient was hospitalized for condition of interest,LOINC,No,
4186037,413467001,Aftercare,Procedure,Observation,SNOMED,Valid,Standard,116977,4186037,413467001,Aftercare,SNOMED,No,
40479553,441509002,Cardiac pacemaker in situ,Clinical Finding,Observation,SNOMED,Valid,Non-standard,116029,40479553,441509002,Cardiac pacemaker in situ,SNOMED,No,
4202797,309298003,Drug therapy finding,Clinical Finding,Observation,SNOMED,Valid,Standard,115146,4202797,309298003,Drug therapy finding,SNOMED,No,
4183393,54718008,Peripheral pulse,Observable Entity,Measurement,SNOMED,Valid,Standard,114858,4183393,54718008,Peripheral pulse,SNOMED,No,
21491507,80409-6,Bed type,Clinical Observation,Observation,LOINC,Valid,Standard,114686,21491507,80409-6,Bed type,LOINC,No,
4256640,408512008,Body mass index 40+ - severely obese,Clinical Finding,Observation,SNOMED,Valid,Standard,114216,4256640,408512008,Body mass index 40+ - severely obese,SNOMED,No,
4072482,224076006,First language,Observable Entity,Observation,SNOMED,Valid,Standard,111903,4072482,224076006,First language,SNOMED,No,
4086756,243878006,Breast neoplasm screening status,Clinical Finding,Observation,SNOMED,Valid,Standard,111303,4086756,243878006,Breast neoplasm screening status,SNOMED,No,
4175851,427958009,History of difficult intubation,Context-dependent,Observation,SNOMED,Valid,Non-standard,109232,4175851,427958009,History of difficult intubation,SNOMED,No,
44782678,698472009,Blood glucose monitoring,Procedure,Observation,SNOMED,Valid,Standard,108753,44782678,698472009,Blood glucose monitoring,SNOMED,No,
441207,62014003,Adverse reaction to drug,Disorder,Observation,SNOMED,Valid,Standard,107645,441207,62014003,Adverse reaction to drug,SNOMED,No,
4232754,404951000,Activity tolerance,Observable Entity,Observation,SNOMED,Valid,Standard,107395,4232754,404951000,Activity tolerance,SNOMED,No,
40481022,443325000,Automatic implantable cardiac defibrillator in situ,Clinical Finding,Observation,SNOMED,Valid,Non-standard,105662,40481022,443325000,Automatic implantable cardiac defibrillator in situ,SNOMED,No,
36305514,86947-9,Reason for hospitalization,Clinical Observation,Observation,LOINC,Valid,Standard,105113,36305514,86947-9,Reason for hospitalization,LOINC,No,
4081759,183655000,Transplant follow-up,Clinical Finding,Observation,SNOMED,Valid,Standard,103400,4081759,183655000,Transplant follow-up,SNOMED,No,
4145666,427675001,Admission from establishment,Procedure,Observation,SNOMED,Valid,Standard,101482,4145666,427675001,Admission from establishment,SNOMED,No,
439224,416098002,Allergy to drug,Clinical Finding,Observation,SNOMED,Valid,Standard,95885,439224,416098002,Allergy to drug,SNOMED,No,
4019967,105502003,Dependence on renal dialysis,Clinical Finding,Observation,SNOMED,Valid,Standard,93961,4019967,105502003,Dependence on renal dialysis,SNOMED,No,
40487468,446402005,Hemodialysis technique,Qualifier Value,Observation,SNOMED,Valid,Standard,92220,40487468,446402005,Hemodialysis technique,SNOMED,No,
435928,267024001,Abnormal weight loss,Clinical Finding,Observation,SNOMED,Valid,Standard,91240,435928,267024001,Abnormal weight loss,SNOMED,No,
4155144,371882005,Device used,Attribute,Observation,SNOMED,Valid,Non-standard,90993,4155144,371882005,Device used,SNOMED,No,
4027634,228308009,Pattern of drinking,Observable Entity,Observation,SNOMED,Valid,Standard,89339,4027634,228308009,Pattern of drinking,SNOMED,No,
4307024,390906007,Follow-up encounter,Procedure,Observation,SNOMED,Valid,Standard,86181,4307024,390906007,Follow-up encounter,SNOMED,No,
4271764,364703007,Employment detail,Observable Entity,Observation,SNOMED,Valid,Standard,85370,4271764,364703007,Employment detail,SNOMED,No,
3656010,870690008,Oral intake,Observable Entity,Observation,SNOMED,Valid,Standard,84322,3656010,870690008,Oral intake,SNOMED,No,
436583,1912002,Fall,Event,Observation,SNOMED,Valid,Standard,82314,436583,1912002,Fall,SNOMED,No,
3036098,38222-6,Sensory perception Braden scale,Clinical Observation,Measurement,LOINC,Valid,Standard,80832,3036098,38222-6,Sensory perception Braden scale,LOINC,No,
3037022,38229-1,Moisture exposure Braden scale,Clinical Observation,Measurement,LOINC,Valid,Standard,80803,3037022,38229-1,Moisture exposure Braden scale,LOINC,No,
4167217,416471007,Family history of clinical finding,Context-dependent,Observation,SNOMED,Valid,Standard,79971,4167217,416471007,Family history of clinical finding,SNOMED,No,
3009350,8690-0,History of Surgical procedures,Clinical Observation,Observation,LOINC,Valid,Standard,79731,3009350,8690-0,History of Surgical procedures,LOINC,No,
4150248,310366008,Medical examinations/reports status,Clinical Finding,Observation,SNOMED,Valid,Standard,78431,4150248,310366008,Medical examinations/reports status,SNOMED,No,
4079646,183644000,Surgical follow-up,Clinical Finding,Observation,SNOMED,Valid,Standard,76524,4079646,183644000,Surgical follow-up,SNOMED,No,
37311059,840546002,Exposure to SARS-CoV-2,Event,Observation,SNOMED,Valid,Standard,74963,37311059,840546002,Exposure to SARS-CoV-2,SNOMED,No,
4046550,133899007,Postoperative care,Procedure,Observation,SNOMED,Valid,Standard,74470,4046550,133899007,Postoperative care,SNOMED,No,
46272452,710816000,Long-term current use of steroid,Context-dependent,Observation,SNOMED,Valid,Standard,72939,46272452,710816000,Long-term current use of steroid,SNOMED,No,
903654,OMOP5181835,Tobacco or its derivatives user,Clinical Finding,Observation,OMOP Extension,Valid,Standard,72597,903654,OMOP5181835,Tobacco or its derivatives user,OMOP Extension,No,
37016200,150781000119103,Exposure to viral disease,Event,Observation,SNOMED,Valid,Standard,72397,37016200,150781000119103,Exposure to viral disease,SNOMED,No,
4060705,162863004,Body mass index 25-29 - overweight,Clinical Finding,Observation,SNOMED,Valid,Standard,71080,4060705,162863004,Body mass index 25-29 - overweight,SNOMED,No,
4181605,428996008,Language preference,Observable Entity,Observation,SNOMED,Valid,Standard,69483,4181605,428996008,Language preference,SNOMED,No,
4295661,385438008,Source of information,Attribute,Observation,SNOMED,Valid,Non-standard,67747,4295661,385438008,Source of information,SNOMED,No,
3027028,10154-3,Chief complaint Narrative - Reported,Clinical Observation,Observation,LOINC,Valid,Standard,66393,3027028,10154-3,Chief complaint Narrative - Reported,LOINC,No,
903657,OMOP5181838,Cigarette smoker,Clinical Finding,Observation,OMOP Extension,Valid,Standard,65088,903657,OMOP5181838,Cigarette smoker,OMOP Extension,No,
44802369,526421000000109,Medicines reconciliation completed,Context-dependent,Observation,SNOMED,Valid,Non-standard,63466,44802369,526421000000109,Medicines reconciliation completed,SNOMED,No,
44784283,698353005,Requires influenza virus vaccination,Clinical Finding,Observation,SNOMED,Valid,Standard,63276,44784283,698353005,Requires influenza virus vaccination,SNOMED,No,
42539099,737277001,Prosthetic heart valve in situ,Clinical Finding,Observation,SNOMED,Valid,Non-standard,60433,42539099,737277001,Prosthetic heart valve in situ,SNOMED,No,
762460,4001000175104,Healthcare payer,Qualifier Value,Observation,SNOMED,Valid,Standard,59348,762460,4001000175104,Healthcare payer,SNOMED,No,
3046344,45404-1,Marital status,Clinical Observation,Observation,LOINC,Valid,Standard,56190,3046344,45404-1,Marital status,LOINC,No,
4216473,395170001,Medication monitoring,Procedure,Observation,SNOMED,Valid,Standard,55212,4216473,395170001,Medication monitoring,SNOMED,No,
44786861,74205-6,Alcohol use [NTDS],Clinical Observation,Observation,LOINC,Valid,Standard,53241,44786861,74205-6,Alcohol use [NTDS],LOINC,No,
46272734,711149003,Long-term current use of antibiotic,Context-dependent,Observation,SNOMED,Valid,Standard,52278,46272734,711149003,Long-term current use of antibiotic,SNOMED,No,
440927,243872007,High risk drug monitoring status,Clinical Finding,Observation,SNOMED,Valid,Standard,48189,440927,243872007,High risk drug monitoring status,SNOMED,No,
4195981,312853008,Medical records review,Procedure,Observation,SNOMED,Valid,Standard,47963,4195981,312853008,Medical records review,SNOMED,No,
40758151,55021-0,Pneumococcal vaccine,Survey,Observation,LOINC,Valid,Standard,46679,40758151,55021-0,Pneumococcal vaccine,LOINC,No,
3012547,8691-8,History of Travel,Clinical Observation,Observation,LOINC,Valid,Standard,46457,3012547,8691-8,History of Travel,LOINC,No,
37059134,LP188554-2,Airway pressure delta setting,LOINC Component,Observation,LOINC,Valid,Non-standard,46425,37059134,LP188554-2,Airway pressure delta setting,LOINC,No,
4179310,298348009,Number of falls,Observable Entity,Observation,SNOMED,Valid,Standard,46095,4179310,298348009,Number of falls,SNOMED,No,
2102041,1160F,CPT4 Code 1160F,CPT4,Observation,CPT4,Valid,Standard,46076,2102041,1160F,CPT4 Code 1160F,CPT4,No,
