Id,Code,Name,Standard Class,Vocab,Validity,Concept,Frequency
4186037,413467001,Aftercare,Procedure,SNOMED,Valid,Standard,116977
40479553,441509002,Cardiac pacemaker in situ,Clinical Finding,SNOMED,Valid,Non-standard,116029
4202797,309298003,Drug therapy finding,Clinical Finding,SNOMED,Valid,Standard,115146
4183393,54718008,Peripheral pulse,Observable Entity,SNOMED,Valid,Standard,114858
21491507,80409-6,Bed type,Clinical Observation,LOINC,Valid,Standard,114686
4256640,408512008,Body mass index 40+ - severely obese,Clinical Finding,SNOMED,Valid,Standard,114216
4072482,224076006,First language,Observable Entity,SNOMED,Valid,Standard,111903
4086756,243878006,Breast neoplasm screening status,Clinical Finding,SNOMED,Valid,Standard,111303
4175851,427958009,History of difficult intubation,Context-dependent,SNOMED,Valid,Non-standard,109232
44782678,698472009,Blood glucose monitoring,Procedure,SNOMED,Valid,Standard,108753
441207,62014003,Adverse reaction to drug,Disorder,SNOMED,Valid,Standard,107645
4232754,404951000,Activity tolerance,Observable Entity,SNOMED,Valid,Standard,107395
40481022,443325000,Automatic implantable cardiac defibrillator in situ,Clinical Finding,SNOMED,Valid,Non-standard,105662
36305514,86947-9,Reason for hospitalization,Clinical Observation,LOINC,Valid,Standard,105113
4081759,183655000,Transplant follow-up,Clinical Finding,SNOMED,Valid,Standard,103400
4145666,427675001,Admission from establishment,Procedure,SNOMED,Valid,Standard,101482
439224,416098002,Allergy to drug,Clinical Finding,SNOMED,Valid,Standard,95885
4019967,105502003,Dependence on renal dialysis,Clinical Finding,SNOMED,Valid,Standard,93961
40487468,446402005,Hemodialysis technique,Qualifier Value,SNOMED,Valid,Standard,92220
435928,267024001,Abnormal weight loss,Clinical Finding,SNOMED,Valid,Standard,91240
4155144,371882005,Device used,Attribute,SNOMED,Valid,Non-standard,90993
4027634,228308009,Pattern of drinking,Observable Entity,SNOMED,Valid,Standard,89339
4307024,390906007,Follow-up encounter,Procedure,SNOMED,Valid,Standard,86181
4271764,364703007,Employment detail,Observable Entity,SNOMED,Valid,Standard,85370
3656010,870690008,Oral intake,Observable Entity,SNOMED,Valid,Standard,84322
436583,1912002,Fall,Event,SNOMED,Valid,Standard,82314
3036098,38222-6,Sensory perception Braden scale,Clinical Observation,LOINC,Valid,Standard,80832
3037022,38229-1,Moisture exposure Braden scale,Clinical Observation,LOINC,Valid,Standard,80803
4167217,416471007,Family history of clinical finding,Context-dependent,SNOMED,Valid,Standard,79971
3009350,8690-0,History of Surgical procedures,Clinical Observation,LOINC,Valid,Standard,79731
4150248,310366008,Medical examinations/reports status,Clinical Finding,SNOMED,Valid,Standard,78431
4079646,183644000,Surgical follow-up,Clinical Finding,SNOMED,Valid,Standard,76524
37311059,840546002,Exposure to SARS-CoV-2,Event,SNOMED,Valid,Standard,74963
4046550,133899007,Postoperative care,Procedure,SNOMED,Valid,Standard,74470
46272452,710816000,Long-term current use of steroid,Context-dependent,SNOMED,Valid,Standard,72939
37016200,150781000119103,Exposure to viral disease,Event,SNOMED,Valid,Standard,72397
4060705,162863004,Body mass index 25-29 - overweight,Clinical Finding,SNOMED,Valid,Standard,71080
4181605,428996008,Language preference,Observable Entity,SNOMED,Valid,Standard,69483
4295661,385438008,Source of information,Attribute,SNOMED,Valid,Non-standard,67747
3027028,10154-3,Chief complaint Narrative - Reported,Clinical Observation,LOINC,Valid,Standard,66393
44802369,526421000000109,Medicines reconciliation completed,Context-dependent,SNOMED,Valid,Non-standard,63466
44784283,698353005,Requires influenza virus vaccination,Clinical Finding,SNOMED,Valid,Standard,63276
42539099,737277001,Prosthetic heart valve in situ,Clinical Finding,SNOMED,Valid,Non-standard,60433
762460,4001000175104,Healthcare payer,Qualifier Value,SNOMED,Valid,Standard,59348
3046344,45404-1,Marital status,Clinical Observation,LOINC,Valid,Standard,56190
4216473,395170001,Medication monitoring,Procedure,SNOMED,Valid,Standard,55212
44786861,74205-6,Alcohol use [NTDS],Clinical Observation,LOINC,Valid,Standard,53241
46272734,711149003,Long-term current use of antibiotic,Context-dependent,SNOMED,Valid,Standard,52278
440927,243872007,High risk drug monitoring status,Clinical Finding,SNOMED,Valid,Standard,48189
4195981,312853008,Medical records review,Procedure,SNOMED,Valid,Standard,47963
40758151,55021-0,Pneumococcal vaccine,Survey,LOINC,Valid,Standard,46679
3012547,8691-8,History of Travel,Clinical Observation,LOINC,Valid,Standard,46457
37059134,LP188554-2,Airway pressure delta setting,LOINC Component,LOINC,Valid,Non-standard,46425
4179310,298348009,Number of falls,Observable Entity,SNOMED,Valid,Standard,46095
2102041,1160F,"Review of all medications by a prescribing practitioner or clinical pharmacist (such as, prescriptions, OTCs, herbal therapies and supplements) documented in the medical record (COA)",CPT4,CPT4,Valid,Standard,46076
443345,292196008,Antineoplastic adverse reaction,Disorder,SNOMED,Valid,Standard,45970
432526,185903001,Needs influenza immunization,Clinical Finding,SNOMED,Valid,Standard,45698
4238766,363903009,Sexual behavior,Observable Entity,SNOMED,Valid,Standard,45151
4108138,250876000,Ventilator rate,Observable Entity,SNOMED,Valid,Standard,44422
437175,217154006,"Fall on same level from slipping, tripping or stumbling",Event,SNOMED,Valid,Standard,44346
3039194,52480-1,Anthropometric Measures,Survey,LOINC,Valid,Non-standard,43169
4135421,412768003,Body mass index 20-24 - normal,Clinical Finding,SNOMED,Valid,Standard,42533
4196133,314705003,Treatment plan given,Clinical Finding,SNOMED,Valid,Standard,41990
40493256,445940005,Duration of hemodialysis session,Observable Entity,SNOMED,Valid,Standard,40434
764609,457381000124104,Preprocedural examination done,Context-dependent,SNOMED,Valid,Non-standard,39969
4181669,363812007,Head circumference,Observable Entity,SNOMED,Valid,Standard,39767
4089495,251288004,Extracorporeal gas exchange flow rate,Observable Entity,SNOMED,Valid,Standard,39075
2106285,3078F,"Most recent diastolic blood pressure less than 80 mm Hg (HTN, CKD, CAD) (DM)",CPT4,CPT4,Valid,Non-standard,38791
4215968,414915002,Obese,Clinical Finding,SNOMED,Valid,Standard,38607
4125274,288939007,Difficulty swallowing,Clinical Finding,SNOMED,Valid,Standard,38229
441482,185351004,Administrative reason for encounter,Clinical Finding,SNOMED,Valid,Standard,37565
4247398,406221003,Health status,Observable Entity,SNOMED,Valid,Standard,37315
141693,371622005,Elevated blood-pressure reading without diagnosis of hypertension,Context-dependent,SNOMED,Valid,Standard,36543
4179963,429740004,Family history of breast cancer,Context-dependent,SNOMED,Valid,Standard,35397
44802821,517641000000109,Haemodialysis ultrafiltration volume,Observable Entity,SNOMED,Valid,Standard,35247
44811085,891931000000102,Paediatric Early Warning Score,Observable Entity,SNOMED,Valid,Non-standard,34561
4119499,304253006,Not for resuscitation,Clinical Finding,SNOMED,Valid,Standard,32722
4149377,268525008,High risk drug monitoring,Procedure,SNOMED,Valid,Standard,32180
45772969,707765006,On ventilator,Qualifier Value,SNOMED,Valid,Standard,31806
3038597,52646-7,Upper body dressing during 2 day assessment period [CARE],Survey,LOINC,Valid,Standard,31186
3039498,52647-5,Lower body dressing during 2 day assessment period [CARE],Survey,LOINC,Valid,Standard,31003
4262918,46732000,"Malignant lymphoma, large B-cell, diffuse",Morph Abnormality,SNOMED,Valid,Non-standard,30747
2101944,1126F,Pain severity quantified; no pain present (COA) (ONC),CPT4,CPT4,Valid,Non-standard,30175
4166257,416093006,Allergic reaction to drug,Disorder,SNOMED,Valid,Standard,29643
43020581,471300007,On waiting list for organ transplant,Clinical Finding,SNOMED,Valid,Standard,29189
2106281,3074F,"Most recent systolic blood pressure less than 130 mm Hg (DM) (HTN, CKD, CAD)",CPT4,CPT4,Valid,Non-standard,28807
46272453,710817009,Long-term current use of inhaled steroid,Context-dependent,SNOMED,Valid,Standard,28278
440279,55566008,Accident,Event,SNOMED,Valid,Standard,27657
37109664,723438005,Left ventricular assist device present,Clinical Finding,SNOMED,Valid,Non-standard,27513
37108763,122541000119104,Vaccination needed,Context-dependent,SNOMED,Valid,Standard,26473
439141,161833006,Abnormal weight gain,Clinical Finding,SNOMED,Valid,Standard,26301
40483738,443913008,Counseling procedure with explicit context,Context-dependent,SNOMED,Valid,Standard,25136
4240903,91936005,Allergy to penicillin,Clinical Finding,SNOMED,Valid,Standard,24960
4299954,78164000,Feeding problem,Clinical Finding,SNOMED,Valid,Standard,24632
4047564,134435003,Routine antenatal care,Procedure,SNOMED,Valid,Standard,24503
4014023,103735009,Palliative care,Procedure,SNOMED,Valid,Standard,24131
2108554,4048F,"Documentation that administration of prophylactic parenteral antibiotic was initiated within 1 hour (if fluoroquinolone or vancomycin, 2 hours) prior to surgical incision (or start of procedure when no incision is required) as ordered (PERI 2)",CPT4,CPT4,Valid,Non-standard,24110
437525,238131007,Overweight,Clinical Finding,SNOMED,Valid,Standard,24013
40661253,G8553,Prescription(s) generated and transmitted via a qualified erx system (Deprecated),HCPCS,HCPCS,Valid,Standard,23387
4229881,89362005,Weight loss,Clinical Finding,SNOMED,Valid,Standard,22928
4032520,129818000,Activity of daily living (ADL) alteration,Clinical Finding,SNOMED,Valid,Standard,22849
45765728,702738006,Supervision of high risk pregnancy,Procedure,SNOMED,Valid,Standard,22019
4322482,7058009,Noncompliance with treatment,Clinical Finding,SNOMED,Valid,Standard,21727
4256891,408676007,Patient preferred name,Observable Entity,SNOMED,Valid,Standard,21664
3655744,866267001,Artificial respiration discontinued,Context-dependent,SNOMED,Valid,Standard,21413
4265443,397578001,Device in situ,Clinical Finding,SNOMED,Valid,Non-standard,21211
4148407,266894000,FH: Cardiovascular disease,Context-dependent,SNOMED,Valid,Standard,22971
3013652,8828-6,Pulmonary vascular Resistance,Clinical Observation,LOINC,Valid,Standard,20736
40480924,441874000,Seen by palliative care service,Clinical Finding,SNOMED,Valid,Standard,20722
40479411,444433005,Suspected clinical finding,Context-dependent,SNOMED,Valid,Standard,20426
3023908,29762-2,Social history Narrative,Clinical Observation,LOINC,Valid,Standard,20155
37396387,716186003,No known allergy,Context-dependent,SNOMED,Valid,Standard,19942
441488,282100009,Adverse reaction to substance,Disorder,SNOMED,Valid,Non-standard,19590
2106284,3077F,"Most recent systolic blood pressure greater than or equal to 140 mm Hg (HTN, CKD, CAD) (DM)",CPT4,CPT4,Valid,Non-standard,19573
4134010,262285001,Weight decreased,Clinical Finding,SNOMED,Valid,Standard,19362
4047514,123735002,Fracture with displacement,Morph Abnormality,SNOMED,Valid,Standard,19141
4041306,229819007,Tobacco use and exposure,Observable Entity,SNOMED,Valid,Non-standard,18944
4331737,22631008,Unsteady when walking,Clinical Finding,SNOMED,Valid,Standard,18907
4012972,165346000,Laboratory test result abnormal,Context-dependent,SNOMED,Valid,Standard,18518
4205115,309406008,Viral screening status,Clinical Finding,SNOMED,Valid,Standard,18452
4147565,310252000,Body mass index less than 20,Clinical Finding,SNOMED,Valid,Standard,18417
4196943,79654002,Edema,Morph Abnormality,SNOMED,Valid,Standard,18191
4174707,424928005,Dietary management surveillance,Procedure,SNOMED,Valid,Standard,17955
2617819,G8419,"Bmi documented outside normal parameters, no follow-up plan documented, no reason given",HCPCS,HCPCS,Valid,Standard,17557
2514400,99217,"Observation care discharge day management (This code is to be utilized to report all services provided to a patient on discharge from outpatient hospital ""observation status"" if the discharge is on other than the initial date of ""observati... (Dep...",CPT4,CPT4,Valid,Standard,17420
4012520,162260006,Dizziness present,Context-dependent,SNOMED,Valid,Standard,17416
4272187,63634009,Glioblastoma,Morph Abnormality,SNOMED,Valid,Non-standard,17190
4139934,32911000,Homeless,Clinical Finding,SNOMED,Valid,Standard,16975
4305297,129834002,Noncompliance with medication regimen,Clinical Finding,SNOMED,Valid,Standard,16831
44813887,836541000000100,PHQ-2 (patient health questionnaire 2) score,Observable Entity,SNOMED,Valid,Non-standard,16798
42529380,83186-7,Ambulation - functional ability,Clinical Observation,LOINC,Valid,Standard,16740
2101943,1125F,Pain severity quantified; pain present (COA) (ONC),CPT4,CPT4,Valid,Non-standard,16687
725112,93793,"Anticoagulant management for a patient taking warfarin, must include review and interpretation of a new home, office, or lab international normalized ratio (INR) test result, patient instructions, dosage adjustment (as needed), and scheduling of a...",CPT4,CPT4,Valid,Standard,16672
45766222,703337007,"Requires diphtheria, tetanus and pertussis vaccination",Clinical Finding,SNOMED,Valid,Standard,16604
4031364,129825007,Healthcare supervision finding,Clinical Finding,SNOMED,Valid,Standard,16591
42709971,449843004,Biologic cardiac valve prosthesis in situ,Clinical Finding,SNOMED,Valid,Non-standard,16538
2106286,3079F,"Most recent diastolic blood pressure 80-89 mm Hg (HTN, CKD, CAD) (DM)",CPT4,CPT4,Valid,Non-standard,16525
903651,OMOP5181833,Currently doesn't use tobacco or its derivatives,Clinical Finding,OMOP Extension,Valid,Standard,15767
2617817,G8417,Bmi is documented above normal parameters and a follow-up plan is documented,HCPCS,HCPCS,Valid,Standard,15534
4144684,3457005,Patient referral,Procedure,SNOMED,Valid,Standard,15315
2617820,G8420,Bmi is documented within normal parameters and no follow-up plan is required,HCPCS,HCPCS,Valid,Standard,15166
2102074,1170F,Functional status assessed (COA) (RA),CPT4,CPT4,Valid,Non-standard,15012
4215373,41607009,Renal cell carcinoma,Morph Abnormality,SNOMED,Valid,Standard,14983
4204933,309032007,Research administrative status,Clinical Finding,SNOMED,Valid,Standard,14953
3009517,10188-1,Review of systems overview Narrative - Reported,Clinical Observation,LOINC,Valid,Standard,14438
44791067,247951000000102,Requires a pneumococcal vaccination,Clinical Finding,SNOMED,Valid,Standard,14281
439388,373060007,Device status,Clinical Finding,SNOMED,Valid,Standard,14149
433930,274913009,Motor vehicle on road in collision with another motor vehicle,Event,SNOMED,Valid,Standard,14074
4030260,128822004,Precursor cell lymphoblastic leukemia,Morph Abnormality,SNOMED,Valid,Standard,14043
1616473,97063-2,Family history of Diabetes,Clinical Observation,LOINC,Valid,Standard,14038
4241527,91939003,Allergy to sulfonamide,Clinical Finding,SNOMED,Valid,Standard,13631
4171594,275937001,Family history of malignant neoplasm,Context-dependent,SNOMED,Valid,Standard,14589
4323344,428913001,No loss of consciousness,Context-dependent,SNOMED,Valid,Standard,13518
4262123,35917007,Adenocarcinoma,Morph Abnormality,SNOMED,Valid,Non-standard,13484
434750,274540003,Feeding difficulties and mismanagement,Clinical Finding,SNOMED,Valid,Standard,13434
4086926,243815002,Prevention status,Clinical Finding,SNOMED,Valid,Standard,13434
437165,214031005,Motor vehicle traffic accident,Event,SNOMED,Valid,Standard,13060
439222,293141009,Corticosteroids adverse reaction,Disorder,SNOMED,Valid,Standard,12955
4334494,430813008,Family history of malignant neoplasm of digestive organ,Context-dependent,SNOMED,Valid,Standard,12929
4082090,183944003,Procedure refused,Context-dependent,SNOMED,Valid,Non-standard,12734
4228480,405742008,Aspirin therapy finding,Clinical Finding,SNOMED,Valid,Standard,12463
36713074,17561000119102,Single liveborn born in hospital by vaginal delivery,Context-dependent,SNOMED,Valid,Standard,12384
2106282,3075F,"Most recent systolic blood pressure 130-139 mm Hg (DM) (HTN, CKD, CAD)",CPT4,CPT4,Valid,Non-standard,12356
43531719,911000119102,Knee joint prosthesis present,Clinical Finding,SNOMED,Valid,Non-standard,11275
37047758,LP73497-7,Temperature setting,LOINC Component,LOINC,Valid,Non-standard,11149
432789,292045009,Opioid analgesic adverse reaction,Disorder,SNOMED,Valid,Standard,11135
43021378,473130003,Suspected infectious disease,Context-dependent,SNOMED,Valid,Standard,10559
4353940,250790007,End tidal carbon dioxide partial pressure,Observable Entity,SNOMED,Valid,Standard,10447
433942,79573009,Accident while engaged in household activity,Event,SNOMED,Valid,Standard,10431
1030277,LP72242-8,Chest tube output,LOINC Component,LOINC,Valid,Non-standard,10409
435372,248342006,Underweight,Clinical Finding,SNOMED,Valid,Standard,10360
2102034,1159F,Medication list documented in medical record (COA),CPT4,CPT4,Valid,Non-standard,10269
763985,449361000124103,Long-term current use of systemic steroid,Context-dependent,SNOMED,Valid,Standard,10137
4179214,429006005,Family history of malignant neoplasm of gastrointestinal tract,Context-dependent,SNOMED,Valid,Standard,9786
4168192,416237000,Procedure not done,Context-dependent,SNOMED,Valid,Standard,9767
4083743,184305005,Cause of death,Observable Entity,SNOMED,Valid,Standard,9506
4182335,297242006,Family history of ischemic heart disease,Context-dependent,SNOMED,Valid,Standard,9403
4210989,57177007,Family history with explicit context,Context-dependent,SNOMED,Valid,Standard,9259
433315,72552008,Feeding problems in newborn,Clinical Finding,SNOMED,Valid,Standard,9231
4139391,307184009,Undisplaced fracture,Morph Abnormality,SNOMED,Valid,Standard,9145
4151189,310577003,Pneumococcal immunization status,Clinical Finding,SNOMED,Valid,Standard,9130
4305831,418715001,Exposure to potentially harmful entity,Event,SNOMED,Valid,Standard,9063
4169009,275104002,Family history of stroke,Context-dependent,SNOMED,Valid,Standard,8850
40483126,442365008,Liveborn born in hospital by cesarean section,Context-dependent,SNOMED,Valid,Standard,8812
