Id,Code,Name,Standard Class,Vocab,Validity,Concept,Frequency
2211803,77014,Computed tomography guidance for placement of radiation therapy fields,Undefined,CPT4,Invalid,Non-standard,41535
2211783,76942,"Ultrasonic guidance for needle placement (eg, biopsy, aspiration, injection, localization device), imaging supervision and interpretation",Undefined,CPT4,Invalid,Non-standard,41427
2414396,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using total time on the date of the e...",Undefined,CPT4,Invalid,Non-standard,41418
4154546,370860007,Verification of allergy status,Procedure,SNOMED,Valid,Standard,41301
37019019,713114000,Provision of medication list,Procedure,SNOMED,Valid,Standard,40067
4017921,1043007,Doppler color flow velocity mapping,Procedure,SNOMED,Valid,Non-standard,43558
42627910,97166,"Occupational therapy evaluation, moderate complexity, requiring these components: An occupational profile and medical and therapy history, which includes an expanded review of medical and/or therapy records and additional review of physical, cogni...",Undefined,CPT4,Invalid,Non-standard,38124
2213282,88304,"Level III - Surgical pathology, gross and microscopic examination Abortion, induced Abscess Aneurysm - arterial/ventricular Anus, tag Appendix, other than incidental Artery, atheromatous plaque Bartholin's gland cyst Bone fragment(s), other than p...",Undefined,CPT4,Invalid,Non-standard,37910
42627952,97161,"Physical therapy evaluation: low complexity, requiring these components: A history with no personal factors and/or comorbidities that impact the plan of care; An examination of body system(s) using standardized tests and measures addressing 1-2 el...",Undefined,CPT4,Invalid,Non-standard,37482
2314231,96415,"Chemotherapy administration, intravenous infusion technique; each additional hour (List separately in addition to code for primary procedure)",Undefined,CPT4,Invalid,Non-standard,37311
3657090,395761000119101,"Plain X-ray of pelvis, anteroposterior view",Procedure,SNOMED,Valid,Standard,36878
4163951,29303009,Electrocardiographic procedure,Procedure,SNOMED,Valid,Standard,36267
2108883,43235,"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",Undefined,CPT4,Invalid,Non-standard,36239
36713200,395081000119108,CT of chest without contrast,Procedure,SNOMED,Valid,Standard,35559
2314233,96417,"Chemotherapy administration, intravenous infusion technique; each additional sequential infusion (different substance/drug), up to 1 hour (List separately in addition to code for primary procedure)",Undefined,CPT4,Invalid,Non-standard,34595
710016,93356,Myocardial strain imaging using speckle tracking-derived assessment of myocardial mechanics (List separately in addition to codes for echocardiography imaging),Undefined,CPT4,Invalid,Non-standard,33676
2102912,20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",Undefined,CPT4,Invalid,Non-standard,33010
4304092,419394006,CT of abdomen and pelvis,Procedure,SNOMED,Valid,Standard,32503
40756947,93451,"Right heart catheterization including measurement(s) of oxygen saturation and cardiac output, when performed",Undefined,CPT4,Invalid,Non-standard,32374
36713226,411251000119104,CT angiography of chest with contrast,Procedure,SNOMED,Valid,Standard,31951
42627987,77067,"Screening mammography, bilateral (2-view study of each breast), including computer-aided detection (CAD) when performed",Undefined,CPT4,Invalid,Non-standard,31769
2108054,36000,"Introduction of needle or intracatheter, vein",Undefined,CPT4,Invalid,Non-standard,31550
4037040,11760007,Fluoroscopy during operation,Procedure,SNOMED,Valid,Standard,31515
2514528,99396,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laborat...",Undefined,CPT4,Invalid,Non-standard,31180
4058031,16883004,"Endotracheal intubation, emergency procedure",Procedure,SNOMED,Valid,Standard,29875
42628025,73502,"Radiologic examination, hip, unilateral, with pelvis when performed; 2-3 views",Undefined,CPT4,Invalid,Non-standard,29869
36713282,572021000119109,CT of maxillofacial area without contrast,Procedure,SNOMED,Valid,Standard,29369
2108209,36569,"Insertion of peripherally inserted central venous catheter (PICC), without subcutaneous port or pump, without imaging guidance; age 5 years or older",Undefined,CPT4,Invalid,Non-standard,29040
4141759,266713003,Long-term drug therapy,Procedure,SNOMED,Valid,Standard,28884
46285252,968261000000104,Health record review,Procedure,SNOMED,Valid,Standard,25989
2211521,74230,"Radiologic examination, swallowing function, with cineradiography/videoradiography, including scout neck radiograph(s) and delayed image(s), when performed, contrast (eg, barium) study",Undefined,CPT4,Invalid,Non-standard,25716
4243768,37931006,Auscultation,Procedure,SNOMED,Valid,Standard,25667
42627900,73552,"Radiologic examination, femur; minimum 2 views",Undefined,CPT4,Invalid,Non-standard,25654
46257421,77063,"Screening digital breast tomosynthesis, bilateral (List separately in addition to code for primary procedure)",Undefined,CPT4,Invalid,Non-standard,25638
42627954,97165,"Occupational therapy evaluation, low complexity, requiring these components: An occupational profile and medical and therapy history, which includes a brief history including review of medical and/or therapy records relating to the presenting prob...",Undefined,CPT4,Invalid,Non-standard,25600
2514402,99219,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling ... (Dep...",Undefined,CPT4,Invalid,Non-standard,24998
42628602,80307,"Drug test(s), presumptive, any number of drug classes, any number of devices or procedures; by instrument chemistry analyzers (eg, utilizing immunoassay [eg, EIA, ELISA, EMIT, FPIA, IA, KIMS, RIA]), chromatography (eg, GC, HPLC), and mass spectrom...",Undefined,CPT4,Invalid,Non-standard,24335
2211407,72131,"Computed tomography, lumbar spine; without contrast material",Undefined,CPT4,Invalid,Non-standard,24021
2314104,95819,Electroencephalogram (EEG); including recording awake and asleep,Undefined,CPT4,Invalid,Non-standard,23784
2211388,72040,"Radiologic examination, spine, cervical; 2 or 3 views",Undefined,CPT4,Invalid,Non-standard,23691
2313886,93503,"Insertion and placement of flow directed catheter (eg, Swan-Ganz) for monitoring purposes",Undefined,CPT4,Invalid,Non-standard,23402
40757101,99225,"Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decis... (Dep...",Undefined,CPT4,Invalid,Non-standard,22898
4223020,41976001,Cardiac catheterization,Procedure,SNOMED,Valid,Standard,22739
4139745,32962002,CT of abdomen with contrast,Procedure,SNOMED,Valid,Standard,21952
36713243,437731000119100,Magnetic resonance angiography of head without contrast,Procedure,SNOMED,Valid,Standard,21847
2101925,11042,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less",Undefined,CPT4,Invalid,Non-standard,21759
2314008,94060,"Bronchodilation responsiveness, spirometry as in 94010, pre- and post-bronchodilator administration",Undefined,CPT4,Invalid,Non-standard,21647
45765485,702435008,CT angiography of vascular structure of neck with contrast,Procedure,SNOMED,Valid,Standard,21640
2106584,31622,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; diagnostic, with cell washing, when performed (separate procedure)",Undefined,CPT4,Invalid,Non-standard,21093
4061009,169070004,CT of abdomen,Procedure,SNOMED,Valid,Standard,20986
2211728,76506,"Echoencephalography, real time with image documentation (gray scale) (for determination of ventricular size, delineation of cerebral contents, and detection of fluid masses or other intracranial abnormalities), including A-mode encephalography as ...",Undefined,CPT4,Invalid,Non-standard,20842
4311293,423736003,Color Doppler ultrasound,Procedure,SNOMED,Valid,Standard,20583
2211482,73564,"Radiologic examination, knee; complete, 4 or more views",Undefined,CPT4,Invalid,Non-standard,20579
2314220,96401,"Chemotherapy administration, subcutaneous or intramuscular; non-hormonal anti-neoplastic",Undefined,CPT4,Invalid,Non-standard,20139
46257457,77387,"Guidance for localization of target volume for delivery of radiation treatment, includes intrafraction tracking, when performed",Undefined,CPT4,Invalid,Non-standard,19413
2211737,76536,"Ultrasound, soft tissues of head and neck (eg, thyroid, parathyroid, parotid), real time with image documentation",Undefined,CPT4,Invalid,Non-standard,19408
2213548,90853,Group psychotherapy (other than of a multiple-family group),Undefined,CPT4,Invalid,Non-standard,19309
4098039,252425004,Cardiac electrophysiology,Procedure,SNOMED,Valid,Standard,36192
37109082,16545191000119100,Radionuclide myocardial perfusion stress study,Procedure,SNOMED,Valid,Standard,19261
4086261,241578008,CT of cervical spine,Procedure,SNOMED,Valid,Standard,19248
2211481,73562,"Radiologic examination, knee; 3 views",Undefined,CPT4,Invalid,Non-standard,19081
2414393,99204,"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the encounte...",Undefined,CPT4,Invalid,Non-standard,18733
2108202,36558,"Insertion of tunneled centrally inserted central venous catheter, without subcutaneous port or pump; age 5 years or older",Undefined,CPT4,Invalid,Non-standard,18659
4249893,73761001,Colonoscopy,Procedure,SNOMED,Valid,Standard,18563
2314040,94668,"Manipulation chest wall, such as cupping, percussing, and vibration to facilitate lung function; subsequent",Undefined,CPT4,Invalid,Non-standard,18516
4083106,241449005,US scan of head,Procedure,SNOMED,Valid,Standard,18532
2514564,99469,"Subsequent inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or younger",Undefined,CPT4,Invalid,Non-standard,18367
4302595,78831002,Comprehensive eye examination,Procedure,SNOMED,Valid,Standard,18308
4302171,7812007,"Radiologic examination of thoracolumbar spine, anteroposterior and lateral",Procedure,SNOMED,Valid,Non-standard,18208
4294382,76009000,Esophagogastroduodenoscopy,Procedure,SNOMED,Valid,Standard,20096
2211404,72128,"Computed tomography, thoracic spine; without contrast material",Undefined,CPT4,Invalid,Non-standard,18077
4223626,40403005,Catheterization of right heart,Procedure,SNOMED,Valid,Standard,18074
36713203,396111000119108,CT of soft tissues of neck with contrast,Procedure,SNOMED,Valid,Standard,17492
2109107,44388,"Colonoscopy through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",Undefined,CPT4,Invalid,Non-standard,17040
4064759,164771005,Examination of pharynx,Procedure,SNOMED,Valid,Standard,16977
40756852,93454,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation",Undefined,CPT4,Invalid,Non-standard,16702
36713289,582101000119108,CT angiography of head with contrast,Procedure,SNOMED,Valid,Standard,16405
43527905,90837,"Psychotherapy, 60 minutes with patient",Undefined,CPT4,Invalid,Non-standard,16382
4302634,419453004,US scan venography of upper limbs,Procedure,SNOMED,Valid,Standard,16335
4313306,86198006,Administration of influenza vaccine,Procedure,SNOMED,Valid,Non-standard,16157
2514523,99391,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laborat...",Undefined,CPT4,Invalid,Non-standard,16052
4125928,288170000,Packed blood cell transfusion,Procedure,SNOMED,Valid,Standard,15875
2514566,99472,"Subsequent inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 29 days through 24 months of age",Undefined,CPT4,Invalid,Non-standard,15831
4019824,105376000,Transesophageal echocardiography,Procedure,SNOMED,Valid,Standard,80059
4143841,427019001,X-ray of left knee,Procedure,SNOMED,Valid,Non-standard,15731
2314232,96416,"Chemotherapy administration, intravenous infusion technique; initiation of prolonged chemotherapy infusion (more than 8 hours), requiring use of a portable or implantable pump",Undefined,CPT4,Invalid,Non-standard,15664
4081708,240917005,Interventional radiology,Procedure,SNOMED,Valid,Non-standard,15409
4146289,427407003,X-ray of right knee,Procedure,SNOMED,Valid,Non-standard,15406
4075966,225162003,Examination of abdomen,Procedure,SNOMED,Valid,Standard,15092
43527904,90834,"Psychotherapy, 45 minutes with patient",Undefined,CPT4,Invalid,Non-standard,14837
4231958,438577005,Decalcification procedure,Procedure,SNOMED,Valid,Standard,14414
4308808,387829002,Endomyocardial biopsy,Procedure,SNOMED,Valid,Standard,15162
2313870,93307,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, without spectral or color Doppler echocardiography",Undefined,CPT4,Invalid,Non-standard,14302
4086263,241580002,CT of lumbar spine,Procedure,SNOMED,Valid,Standard,14260
2101823,01996,Daily hospital management of epidural or subarachnoid continuous drug administration,Undefined,CPT4,Invalid,Non-standard,14214
2101931,11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion (Deprecated)",Undefined,CPT4,Invalid,Non-standard,14165
36713202,395771000119107,CT of pelvis without contrast,Procedure,SNOMED,Valid,Standard,14096
36713262,489801000119103,MRI of brain without contrast,Procedure,SNOMED,Valid,Standard,14023
2414392,99203,"Office or other outpatient visit for the evaluation and management of a new patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the encounter for...",Undefined,CPT4,Invalid,Non-standard,13950
2313867,93303,Transthoracic echocardiography for congenital cardiac anomalies; complete,Undefined,CPT4,Invalid,Non-standard,13908
2211347,70546,"Magnetic resonance angiography, head; without contrast material(s), followed by contrast material(s) and further sequences",Undefined,CPT4,Invalid,Non-standard,13760
46257484,76642,"Ultrasound, breast, unilateral, real time with image documentation, including axilla when performed; limited",Undefined,CPT4,Invalid,Non-standard,13727
4256910,408740001,Radiography of hip,Procedure,SNOMED,Valid,Non-standard,35819
2108886,43238,"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s), (includes endoscopic ultrasound examination limited to the esophagus, stomach or duodenum, and adjac...",Undefined,CPT4,Invalid,Non-standard,13535
4252907,74710000,CT of pelvis with contrast,Procedure,SNOMED,Valid,Standard,13323
2213419,90472,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); each additional vaccine (single or combination vaccine/toxoid) (List separately in addition to code for primary procedure)",Undefined,CPT4,Invalid,Non-standard,13144
4331964,431852008,Pediatric echocardiography,Procedure,SNOMED,Valid,Standard,13129
2514524,99392,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laborat...",Undefined,CPT4,Invalid,Non-standard,13052
2211744,76776,"Ultrasound, transplanted kidney, real time and duplex Doppler with image documentation",Undefined,CPT4,Invalid,Non-standard,12987
4086262,241579000,CT of thoracic spine,Procedure,SNOMED,Valid,Standard,12950
4335825,433236007,Transthoracic echocardiography,Procedure,SNOMED,Valid,Standard,12939
4251734,410200000,Weight control education,Procedure,SNOMED,Valid,Standard,12709
40757113,99226,"Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. Cou... (Dep...",Undefined,CPT4,Invalid,Non-standard,12628
2108204,36561,"Insertion of tunneled centrally inserted central venous access device, with subcutaneous port; age 5 years or older",Undefined,CPT4,Invalid,Non-standard,12602
2211421,72190,"Radiologic examination, pelvis; complete, minimum of 3 views",Undefined,CPT4,Invalid,Non-standard,12583
2211494,73700,"Computed tomography, lower extremity; without contrast material",Undefined,CPT4,Invalid,Non-standard,12369
2314242,96521,Refilling and maintenance of portable pump,Undefined,CPT4,Invalid,Non-standard,12113
4220344,39868003,Inspection of mouth,Procedure,SNOMED,Valid,Standard,12077
4295155,401221002,Ankle brachial pressure index,Procedure,SNOMED,Valid,Non-standard,12069
4019097,116148004,Molecular genetics procedure,Procedure,SNOMED,Valid,Standard,12004
4139374,426721006,Plain X-ray of right ankle,Procedure,SNOMED,Valid,Standard,11882
36684397,9521000087109,CT angiography of abdominal artery and pelvic artery with contrast,Procedure,SNOMED,Valid,Standard,11741
4195852,67629009,Catheterization of left heart,Procedure,SNOMED,Valid,Standard,11658
4332170,22778000,Venipuncture,Procedure,SNOMED,Valid,Standard,11656
43527915,32555,"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance",Undefined,CPT4,Invalid,Non-standard,11539
2211799,77003,Fluoroscopic guidance and localization of needle or catheter tip for spine or paraspinous diagnostic or therapeutic injection procedures (epidural or subarachnoid) (List separately in addition to code for primary procedure),Undefined,CPT4,Invalid,Non-standard,11510
2211577,75561,"Cardiac magnetic resonance imaging for morphology and function without contrast material(s), followed by contrast material(s) and further sequences",Undefined,CPT4,Invalid,Non-standard,11410
2107214,33508,"Endoscopy, surgical, including video-assisted harvest of vein(s) for coronary artery bypass procedure (List separately in addition to code for primary procedure)",Undefined,CPT4,Invalid,Non-standard,11295
4036803,162673000,General examination of patient,Procedure,SNOMED,Valid,Standard,11168
4085418,241094007,Scoliosis survey X-ray,Procedure,SNOMED,Valid,Non-standard,11148
4281096,66894002,"Flexible fiberoptic laryngoscopy, diagnostic",Procedure,SNOMED,Valid,Non-standard,11070
4070901,21613005,"Radiologic examination of cervical spine, anteroposterior and lateral",Procedure,SNOMED,Valid,Non-standard,11024
42628578,72082,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 2 or 3 views",Undefined,CPT4,Invalid,Non-standard,10990
710035,95720,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, each increment of greater than 12 hours, up to 26 hours of EEG recording, i...",Undefined,CPT4,Invalid,Non-standard,10777
2313977,93886,Transcranial Doppler study of the intracranial arteries; complete study,Undefined,CPT4,Invalid,Non-standard,10737
2102593,17110,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions",Undefined,CPT4,Invalid,Non-standard,10677
2107231,33533,"Coronary artery bypass, using arterial graft(s); single arterial graft",Undefined,CPT4,Invalid,Non-standard,10657
725114,94618,"Pulmonary stress testing (eg, 6-minute walk test), including measurement of heart rate, oximetry, and oxygen titration, when performed",Undefined,CPT4,Invalid,Non-standard,10559
4262027,410265008,"Medication administration education, guidance, and counseling",Procedure,SNOMED,Valid,Standard,10464
4138399,32564009,Arterial specimen collection for laboratory test,Procedure,SNOMED,Valid,Standard,10459
4144465,426311001,Plain X-ray of right foot,Procedure,SNOMED,Valid,Standard,10402
43527925,36224,"Selective catheter placement, internal carotid artery, unilateral, with angiography of the ipsilateral intracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the extracranial caroti...",Undefined,CPT4,Invalid,Non-standard,10246
4058336,169071000,CT of pelvis,Procedure,SNOMED,Valid,Standard,10224
2314103,95816,Electroencephalogram (EEG); including recording awake and drowsy,Undefined,CPT4,Invalid,Non-standard,10155
2313882,93350,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpr...",Undefined,CPT4,Invalid,Non-standard,10025
37207161,3651000087100,Plain X-ray of right hip,Procedure,SNOMED,Valid,Standard,9936
2109916,54150,"Circumcision, using clamp or other device with regional dorsal penile or ring block",Undefined,CPT4,Invalid,Non-standard,9910
4140026,426420006,Plain X-ray of left ankle,Procedure,SNOMED,Valid,Standard,9860
37207173,3761000087109,Plain X-ray of left shoulder,Procedure,SNOMED,Valid,Standard,9849
4263508,36228007,Ophthalmic examination and evaluation,Procedure,SNOMED,Valid,Standard,9784
2211801,77012,"Computed tomography guidance for needle placement (eg, biopsy, aspiration, injection, localization device), radiological supervision and interpretation",Undefined,CPT4,Invalid,Non-standard,9737
42535536,3541000087102,Plain X-ray of left femur,Procedure,SNOMED,Valid,Standard,9734
4244107,59000001,Surgical pathology consultation and report on referred slides prepared elsewhere,Procedure,SNOMED,Valid,Standard,9733
37207175,3771000087100,Plain X-ray of right shoulder,Procedure,SNOMED,Valid,Standard,9667
